Player,INT,INT TD,INT Yds,Lng
Anthony Levine,1,0,16,16
DeMarcus Lawrence,1,0,13,13
Luke Kuechly,1,0,0,0
A.J. Klein,1,0,6,6
Kevin King,1,0,0,0
Derrick Kindred,1,0,0,0
Lamarcus Joyner,1,0,5,5
Karl Joseph,1,0,5,5
Colin Jones,1,0,5,5
Chris Jones,1,1,20,20
Adam Jones,1,0,0,0
Taron Johnson,1,0,0,0
Isaiah Johnson,1,0,6,6
Michael Johnson,1,1,22,22
Malcolm Jenkins,1,0,25,25
Tony Jefferson,1,0,15,15
Myles Jack,1,1,32,32
Melvin Ingram,1,0,8,8
Mike Hughes,1,1,28,28
Justin Houston,1,0,4,4
Mike Hilton,1,0,0,0
Holton Hill,1,0,2,2
Dont'a Hightower,1,0,27,27
Jeff Heath,1,0,49,49
D.J. Hayden,1,0,10,10
Ronnie Harrison,1,0,14,14
Shelby Harris,1,0,0,0
Justin Hardee,1,0,77,77
Kamu Grugier-Hill,1,0,24,24
Corey Graham,1,0,29,29
Najee Goode,1,0,16,16
Adarius Taylor,1,0,7,7
Tashaun Gipson,1,0,8,8
Nate Gerry,1,0,8,8
E.J. Gaines,1,0,0,0
Leonard Floyd,1,1,19,19
Matthias Farley,1,0,7,7
Antone Exum,1,1,32,32
Deshazor Everett,1,0,24,24
Justin Evans,1,0,0,0
Jordan Evans,1,0,7,7
Javien Elliott,1,0,50,50
Terrell Edmunds,1,0,35,35
Samson Ebukam,1,1,25,25
Bud Dupree,1,1,10,10
Pierre Desir,1,0,1,1
Todd Davis,1,1,20,20
Sean Davis,1,0,27,27
Ronald Darby,1,0,16,16
Zach Cunningham,1,1,38,38
Jack Crawford,1,0,6,6
Blake Countess,1,0,0,0
Jamie Collins,1,0,0,0
Justin Coleman,1,0,0,0
Frank Clark,1,0,26,26
Chuck Clark,1,0,5,5
Barry Church,1,0,11,11
Patrick Chung,1,0,2,2
T.J. Carrie,1,0,0,0
Jayon Brown,1,1,22,22
Anthony Brown,1,0,1,1
James Bradberry,1,0,29,29
A.J. Bouye,1,0,9,9
Bene' Benwikere,1,0,21,21
Ja'Whaun Bentley,1,0,0,0
Jerome Baker,1,1,25,25
Chidobe Awuzie,1,0,0,0
Alex Anzalone,1,0,2,2
David Amerson,1,0,25,25
Ricardo Allen,1,0,28,28
Jaire Alexander,1,0,27,27
Walt Aikens,1,0,0,0
Jahleel Addae,1,0,19,19
Jamal Adams,1,0,38,38
