Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Chad Henne,3,1,0,0,0,3,0,0.0,0
Johnny Hekker,3,1,0,0,0,3,0,0.0,0
Jeff Heath,3,1,0,0,0,3,1,1.0,0
Chase Daniel,3,13,0,0,0,4,1,13.0,3
Derrick Coleman,3,2,0,0,0,2,0,0.0,0
Tyler Boyd,3,2,0,0,0,5,0,0.0,0
Geno Smith,2,8,0,0,0,9,0,0.0,0
Anthony Sherman,2,1,0,0,0,2,1,1.0,0
Breshad Perriman,2,4,0,0,0,7,0,0.0,0
T.J. Logan,2,2,0,0,0,5,0,0.0,0
Darius Jennings,2,1,0,0,0,2,0,0.0,0
Bruce Ellington,2,1,0,0,0,2,0,0.0,0
Trey Burton,2,1,0,0,0,2,1,1.0,0
Akiem Hicks,1,1,1,0,0,1,1,1.0,0
Cameron Batson,1,1,0,0,0,1,1,1.0,0
Ameer Abdullah,1,1,0,0,0,1,0,0.0,0
