Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Chris Conley,32,334,5,4,0,27,18,0.563,2,0,52
Ian Thomas,36,333,2,4,0,31,20,0.556,0,0,49
Antonio Gates,28,333,2,5,0,27,19,0.679,1,0,45
Equanimeous St. Brown,21,328,0,5,1,54,13,0.619,0,0,36
Kyle Juszczyk,30,324,1,4,1,56,15,0.5,1,0,41
Gerald Everett,33,320,3,4,1,40,17,0.515,0,0,50
Tajae Sharpe,26,316,2,2,0,28,22,0.846,0,0,47
Tim Patrick,23,315,1,6,0,26,15,0.652,2,0,41
DeVante Parker,24,309,1,3,1,46,14,0.583,0,0,47
Blake Jarwin,27,307,3,3,0,39,16,0.593,0,0,36
Ryan Griffin,24,305,0,3,1,47,15,0.625,0,0,43
Dalvin Cook,40,305,2,5,0,27,15,0.375,0,0,49
Jacquizz Rodgers,38,304,0,1,0,24,13,0.342,1,0,45
Dontrelle Inman,28,304,3,4,0,29,16,0.571,0,0,39
Maurice Harris,28,304,0,3,1,42,12,0.429,0,0,47
Geronimo Allison,20,303,2,4,1,64,11,0.55,1,0,30
Laquon Treadwell,35,302,1,1,0,22,16,0.457,0,0,53
Jordan Matthews,20,300,2,3,1,56,14,0.7,0,0,28
Joe Mixon,43,296,1,2,0,21,14,0.326,0,0,55
Allen Hurns,20,295,2,6,1,49,11,0.55,1,0,35
Tyler Higbee,24,292,2,3,0,36,16,0.667,1,0,34
Greg Olsen,27,291,4,2,0,23,18,0.667,0,0,38
Phillip Dorsett,32,290,3,1,0,20,17,0.531,0,0,42
Cameron Brate,30,289,6,2,0,21,18,0.6,1,0,49
Demarcus Robinson,22,288,4,3,1,89,12,0.545,0,0,33
Keke Coutee,28,287,1,2,1,40,13,0.464,0,0,41
Pierre Garcon,24,286,1,5,0,25,14,0.583,0,0,46
Jeff Heuerman,31,281,2,2,0,36,14,0.452,0,0,48
Tevin Coleman,32,276,5,3,0,39,15,0.469,1,0,44
Devontae Booker,38,275,0,2,0,30,9,0.237,1,0,51
Rhett Ellison,25,272,1,2,0,29,13,0.52,0,0,34
Nick Vannett,29,269,3,1,0,32,17,0.586,1,0,43
Chris Thompson,41,268,1,1,0,23,12,0.293,0,0,55
Zach Pascal,27,268,2,1,0,28,15,0.556,0,0,46
Jakeem Grant,21,268,2,2,1,52,13,0.619,0,0,34
Martavis Bryant,19,266,0,6,1,47,10,0.526,1,0,27
Levine Toilolo,21,263,1,2,0,39,16,0.762,0,0,24
Paul Richardson,20,262,2,5,1,46,12,0.6,0,0,35
Matt Breida,27,261,2,5,0,26,12,0.444,0,0,31
Jason Croom,22,259,1,5,0,26,10,0.455,2,0,35
Jonnu Smith,20,258,3,3,1,61,10,0.5,1,0,30
Ryan Switzer,36,253,1,1,0,24,15,0.417,0,0,44
Terrelle Pryor,16,252,2,5,1,55,11,0.688,0,0,30
Matt LaCosse,24,250,1,1,1,44,11,0.458,0,0,37
Cordarrelle Patterson,21,247,3,4,1,55,11,0.524,0,0,28
Jack Doyle,26,245,2,1,0,20,14,0.538,1,0,33
DaeSean Hamilton,30,243,2,1,0,24,16,0.533,0,0,46
Geoff Swaim,26,242,1,3,1,43,11,0.423,0,0,32
Phillip Lindsay,35,241,1,1,0,29,12,0.343,0,0,47
LeSean McCoy,34,238,0,2,0,24,10,0.294,0,0,46
Ty Montgomery,25,235,0,2,1,57,7,0.28,0,0,40
Aldrick Robinson,17,231,5,2,1,40,12,0.706,0,0,35
Wendell Smallwood,28,230,2,3,0,36,9,0.321,1,0,35
Anthony Firkser,19,225,1,3,0,28,12,0.632,0,0,20
Jordan Akins,17,225,0,3,0,28,11,0.647,0,0,25
Spencer Ware,20,224,0,4,0,31,9,0.45,0,0,23
Bruce Ellington,31,224,1,2,0,44,14,0.452,0,0,42
Giovani Bernard,35,218,0,2,0,26,8,0.229,0,0,48
James Washington,16,217,1,3,1,47,10,0.625,0,0,38
DeAndre Carter,22,216,0,2,1,61,10,0.455,1,0,25
Jordan Thomas,20,215,4,2,0,39,12,0.6,0,0,27
Trent Taylor,26,215,1,1,0,23,11,0.423,0,0,40
James O'Shaughnessy,24,214,0,0,0,17,10,0.417,0,0,38
Mike Davis,34,214,1,0,0,18,10,0.294,0,0,42
Kerryon Johnson,32,213,1,1,0,24,11,0.344,0,0,39
Nick Boyle,23,213,0,1,0,25,10,0.435,0,0,37
Jamaal Williams,27,210,0,2,0,26,11,0.407,0,0,41
Trent Sherfield,19,210,1,1,0,21,11,0.579,0,0,28
John Ross,21,210,7,3,0,39,13,0.619,0,0,58
Virgil Green,19,210,1,5,0,26,10,0.526,0,0,27
Keith Kirkwood,13,209,2,4,1,42,10,0.769,0,0,21
Ted Ginn,17,209,2,3,1,42,10,0.588,1,0,30
Adrian Peterson,20,208,1,3,1,52,9,0.45,1,0,26
Aaron Jones,26,206,1,2,0,24,12,0.462,0,0,35
Chris Ivory,13,205,0,4,2,55,7,0.538,0,0,21
Mike Gesicki,22,202,0,1,0,27,9,0.409,1,0,32
Jaylen Samuels,26,199,3,2,0,23,10,0.385,0,0,29
Bennie Fowler,16,199,1,3,0,26,12,0.75,1,0,27
Chris Moore,19,196,1,3,0,30,8,0.421,0,0,25
Javorius Allen,35,196,2,0,0,17,11,0.314,1,0,43
Elijah McGuire,19,193,1,2,0,20,10,0.526,0,0,31
Corey Clement,22,192,0,3,0,23,10,0.455,0,0,25
Torrey Smith,17,190,2,2,0,35,12,0.706,0,0,31
Cody Latimer,11,190,1,4,0,39,6,0.545,0,0,16
T.J. Jones,19,190,2,3,0,26,10,0.526,0,0,26
Russell Shepard,10,188,2,4,2,49,7,0.7,0,0,19
Travis Benjamin,12,186,1,4,1,46,9,0.75,0,0,24
Josh Hill,16,185,1,4,0,23,11,0.688,0,0,24
Leonard Fournette,22,185,1,3,0,31,10,0.455,0,0,26
Charles Clay,21,184,0,2,0,21,11,0.524,1,0,36
Isaiah McKenzie,18,179,0,1,0,23,10,0.556,0,0,30
Tyler Eifert,15,179,1,2,0,29,10,0.667,0,0,19
D.J. Chark,14,174,0,2,0,38,6,0.429,1,0,32
Chad Williams,17,171,1,1,0,22,9,0.529,0,0,46
Lance Kendricks,19,170,1,2,0,22,9,0.474,0,0,25
Mark Ingram,21,170,1,3,0,28,5,0.238,1,0,27
Alex Erickson,20,167,0,1,0,28,7,0.35,0,0,29
Jaron Brown,14,166,5,1,1,45,9,0.643,0,0,19
Luke Stocker,15,165,2,2,0,31,10,0.667,0,0,21
Demetrius Harris,12,164,3,2,0,35,9,0.75,0,0,25
Lamar Miller,25,163,1,0,0,16,8,0.32,1,0,35
Hayden Hurst,13,163,1,3,0,32,8,0.615,0,0,23
Chris Carson,20,163,0,1,0,27,7,0.35,0,0,24
Andre Holmes,13,162,0,5,0,29,8,0.615,0,0,24
Deonte Thompson,17,161,0,0,0,29,10,0.588,0,0,30
Damien Williams,23,160,2,1,0,32,9,0.391,0,0,24
Darren Sproles,15,160,2,3,0,37,6,0.4,0,0,23
Cody Core,13,160,1,2,0,30,7,0.538,0,0,28
Will Dissly,8,156,2,3,1,66,5,0.625,0,0,14
Alfred Blue,20,154,0,1,0,28,4,0.2,0,0,27
Marcell Ateman,15,154,1,2,0,32,7,0.467,0,0,31
Ito Smith,27,152,0,1,0,20,9,0.333,0,0,32
Isaiah Crowell,21,152,0,1,0,21,7,0.333,0,0,28
Dan Arnold,12,150,1,4,0,25,9,0.75,1,0,19
Marvin Hall,10,149,1,2,1,47,5,0.5,0,0,19
Nick Chubb,20,149,2,2,0,24,5,0.25,0,0,29
Jordan Howard,20,145,0,0,0,18,7,0.35,0,0,27
Damion Ratley,13,144,0,3,0,27,5,0.385,0,0,20
Trenton Cannon,17,144,0,1,0,35,4,0.235,0,0,25
Maxx Williams,16,143,1,3,0,25,7,0.438,0,0,17
Ed Dickson,12,143,3,2,1,42,7,0.583,0,0,13
Deontay Burnett,10,143,0,3,0,29,7,0.7,0,0,15
Latavius Murray,22,141,0,0,0,16,7,0.318,0,0,26
Tavon Austin,8,140,2,2,2,64,5,0.625,0,0,13
Brandon Marshall,11,136,1,2,0,27,7,0.636,0,0,23
Brandon LaFell,12,135,2,1,0,24,9,0.75,0,0,16
Justin Jackson,15,135,0,0,0,19,5,0.333,0,0,19
Justin Hardy,14,133,2,0,0,19,8,0.571,0,0,22
Mo Alie-Cox,7,133,2,4,0,34,6,0.857,0,0,13
Rex Burkhead,14,131,1,1,0,25,4,0.286,1,0,20
Richie James,9,130,1,2,1,53,4,0.444,0,0,14
Brandon Powell,11,129,0,1,1,41,6,0.545,0,0,17
Frank Gore,12,124,1,1,0,24,8,0.667,0,0,16
Darren Fells,11,117,3,1,1,49,6,0.545,0,0,12
Josh Bellamy,14,117,1,1,0,20,8,0.571,0,0,25
Dalton Schultz,12,116,0,0,0,17,6,0.5,0,0,17
Doug Martin,18,116,0,2,0,23,6,0.333,0,0,24
Kapri Bibbs,16,115,1,1,0,28,4,0.25,1,0,23
Cameron Meredith,9,114,1,2,1,46,4,0.444,1,0,10
Jordan Leggett,14,114,1,0,0,16,6,0.429,0,0,25
Andy Janovich,8,112,1,2,0,32,5,0.625,0,0,10
Bilal Powell,11,110,1,2,0,28,3,0.273,0,0,18
Dontrell Hilliard,9,105,0,2,0,24,4,0.444,0,0,10
Alex Collins,15,105,1,2,0,24,6,0.4,0,0,21
Marlon Mack,17,103,1,1,0,29,3,0.176,1,0,26
Jake Kumerow,8,103,1,1,1,49,4,0.5,0,0,11
Chase Edmonds,20,103,0,0,0,13,5,0.25,0,0,23
MyCole Pruitt,9,102,1,1,0,27,6,0.667,0,0,11
Marcus Johnson,6,102,1,1,0,34,5,0.833,0,0,8
Darius Jennings,11,101,0,1,0,36,2,0.182,0,0,15
Michael Roberts,9,100,3,1,0,29,5,0.556,0,0,20
Michael Floyd,10,100,1,1,0,20,5,0.5,0,0,24
Derrick Henry,15,99,0,1,0,21,4,0.267,1,0,18
Jeff Wilson,12,98,0,1,0,24,5,0.417,0,0,15
Niles Paul,10,98,0,1,0,22,5,0.5,0,0,13
Austin Carr,9,97,2,1,0,25,5,0.556,0,0,14
Anthony Sherman,8,96,1,1,0,36,5,0.625,0,0,9
Jermaine Gresham,9,94,0,1,0,26,6,0.667,1,0,12
Leonte Carroo,2,94,1,2,1,74,2,1.0,0,0,4
Kevin White,4,92,0,2,1,54,3,0.75,0,0,8
Peyton Barber,20,92,1,0,0,10,4,0.2,0,0,29
Vyncint Smith,5,91,1,2,0,35,3,0.6,0,0,10
Logan Paulsen,9,91,1,0,0,19,6,0.667,0,0,9
Austin Seferian-Jenkins,11,90,1,1,0,21,6,0.545,0,0,19
Garrett Celek,5,90,2,2,1,41,5,1.0,0,0,8
Wayne Gallman,14,89,0,1,0,21,5,0.357,2,0,22
Luke Willson,13,87,0,0,0,13,5,0.385,0,0,19
Erik Swoope,8,87,3,1,0,26,5,0.625,0,0,10
Scott Simonson,9,86,1,1,0,24,6,0.667,0,0,14
Nick O'Leary,8,86,1,0,0,19,6,0.75,0,0,10
Xavier Grimble,6,86,0,2,0,23,4,0.667,1,0,8
Jordan Wilkins,16,85,0,0,0,17,2,0.125,2,0,17
C.J. Ham,11,85,0,0,0,17,4,0.364,0,0,15
Jake Butt,8,85,0,2,0,22,4,0.5,0,0,12
Marshawn Lynch,15,84,0,0,0,17,6,0.4,0,0,20
Cameron Batson,8,82,0,1,0,26,5,0.625,0,0,11
Andy Jones,11,80,1,0,0,15,6,0.545,0,0,24
Eli Rogers,12,79,0,0,0,17,5,0.417,1,0,14
Andre Roberts,10,79,1,1,0,20,4,0.4,0,0,18
Taquan Mizzell,8,78,1,1,0,26,4,0.5,0,0,10
Robert Tonyan,4,77,1,1,1,54,3,0.75,0,0,6
Logan Thomas,12,77,0,1,0,24,3,0.25,0,0,17
Tyler Conklin,5,77,0,2,0,33,3,0.6,0,0,7
Darren Waller,6,75,0,1,1,44,4,0.667,0,0,6
Trey Quinn,9,75,1,0,0,15,5,0.556,0,0,10
Rashaad Penny,9,75,0,1,0,24,3,0.333,0,0,12
Seth DeValve,5,74,1,2,0,26,3,0.6,0,0,7
Lee Smith,10,73,3,1,0,30,5,0.5,0,0,11
Alfred Morris,8,73,0,0,0,16,5,0.625,0,0,13
Eric Tomlinson,8,72,0,1,0,24,3,0.375,0,0,14
Royce Freeman,14,72,0,0,0,9,2,0.143,0,0,20
Corey Coleman,5,71,0,1,0,30,5,1.0,0,0,8
Josh Perkins,5,67,0,1,0,30,4,0.8,0,0,11
Corey Grant,9,67,0,0,0,16,5,0.556,0,0,12
Derek Carrier,7,67,1,1,0,23,3,0.429,0,0,12
LeGarrette Blount,10,67,0,1,0,23,4,0.4,1,0,15
Blake Bell,8,67,0,0,0,16,3,0.375,0,0,11
Dane Cruikshank,1,66,1,1,1,66,1,1.0,0,0,1
J.J. Nelson,7,64,0,0,0,17,4,0.571,0,0,19
Russell Gage,6,63,0,1,0,22,2,0.333,0,0,10
Patrick DiMarco,3,62,0,2,0,38,2,0.667,0,0,4
Derrick Willies,3,61,0,1,0,39,2,0.667,1,0,5
David Grinnage,6,61,0,1,0,24,2,0.333,0,0,8
James Develin,12,61,0,0,0,11,3,0.25,0,0,17
Rod Smith,9,60,0,0,0,14,1,0.111,0,0,12
Tommylee Lewis,3,60,1,2,0,28,3,1.0,0,0,3
Rashad Greene,6,60,0,0,0,12,3,0.5,2,0,8
Brice Butler,6,60,1,1,0,23,4,0.667,0,0,9
Josh Adams,7,58,0,0,0,13,3,0.429,0,0,13
Zach Zenner,7,56,0,1,0,30,3,0.429,0,0,10
Kalen Ballage,9,56,0,1,0,31,2,0.222,0,0,11
Noah Brown,5,54,0,1,0,22,2,0.4,0,0,8
Kamar Aiken,6,53,0,0,0,18,2,0.333,0,0,7
Bobo Wilson,4,52,0,1,0,25,2,0.5,0,0,5
Delanie Walker,4,52,0,0,0,16,4,1.0,0,0,7
Chris Manhertz,2,52,1,1,1,50,1,0.5,0,0,5
Jacob Hollister,4,52,0,1,0,23,2,0.5,0,0,5
Malcolm Brown,5,52,1,0,0,18,2,0.4,0,0,7
Kenneth Dixon,6,51,0,1,0,21,2,0.333,0,0,7
Durham Smythe,6,50,0,1,0,21,2,0.333,0,0,11
Elijhaa Penny,8,50,0,0,0,16,1,0.125,0,0,9
Sony Michel,7,50,0,0,0,13,3,0.429,0,0,11
Adam Shaheen,5,48,1,1,0,23,3,0.6,0,0,6
Eric Saubert,5,48,0,0,0,17,2,0.4,0,0,9
Shelton Gibson,1,48,0,1,1,48,1,1.0,0,0,3
A.J. Derby,3,48,1,0,0,19,3,1.0,0,0,5
Antony Auclair,7,48,0,0,0,12,1,0.143,0,0,8
Neal Sterling,6,47,0,0,0,12,2,0.333,0,0,8
Rico Gathers,3,45,0,1,0,32,2,0.667,0,0,7
River Cracraft,1,44,0,1,1,44,1,1.0,0,0,2
Ben Braunecker,3,42,0,1,0,20,2,0.667,0,0,5
Mark Walton,5,41,0,1,0,24,1,0.2,0,0,8
Jeremy Sprinkle,5,41,1,0,0,15,3,0.6,0,0,9
Tommy Bohanon,6,41,0,0,0,12,1,0.167,0,0,9
C.J. Anderson,5,41,1,1,0,37,2,0.4,0,0,9
Dwayne Harris,6,40,0,0,0,13,1,0.167,1,0,6
Jawill Davis,4,40,0,1,0,22,3,0.75,0,0,8
Marcedes Lewis,3,39,0,1,0,30,1,0.333,0,0,4
Chad Beebe,4,39,0,0,0,18,3,0.75,0,0,4
John Phillips,3,38,0,1,0,24,1,0.333,0,0,3
Roosevelt Nix,4,38,0,0,0,19,2,0.5,0,0,6
Charcandrick West,2,37,1,1,0,25,2,1.0,0,0,3
Jalen Tolliver,3,37,0,0,0,15,3,1.0,0,0,6
T.J. Logan,7,37,0,0,0,17,1,0.143,0,0,7
Jordan Franks,2,37,0,1,0,32,1,0.5,0,0,3
David Morgan,5,36,0,0,0,13,2,0.4,0,0,6
Ray-Ray McCloud,5,36,0,0,0,16,2,0.4,0,0,6
Tyler Kroft,4,36,0,0,0,16,4,1.0,0,0,6
Auden Tate,4,35,0,0,0,15,2,0.5,0,0,12
Tre Madden,2,35,0,1,0,28,1,0.5,0,0,3
Tyler Ervin,3,35,0,0,0,19,1,0.333,0,0,3
Brian Parker,5,33,0,0,0,11,2,0.4,0,0,10
Ronald Jones,7,33,0,0,0,15,2,0.286,0,0,9
Carlos Hyde,10,33,0,0,0,15,0,0.0,0,0,16
Javon Wims,4,32,0,0,0,16,2,0.5,0,0,5
Byron Marshall,4,30,0,0,0,17,1,0.25,0,0,6
De'Anthony Thomas,3,29,1,0,0,15,3,1.0,0,0,5
D'Onta Foreman,2,28,1,1,0,20,1,0.5,0,0,2
Ameer Abdullah,3,28,0,0,0,22,1,0.333,0,0,4
Darrel Williams,3,27,1,0,0,11,1,0.333,0,0,3
John Kelly,2,27,0,0,0,18,1,0.5,0,0,3
Dwayne Allen,3,27,0,1,0,21,2,0.667,0,0,4
Marcus Murphy,11,26,0,0,0,8,2,0.182,0,0,19
Charone Peake,2,25,0,0,0,14,2,1.0,0,0,3
Raheem Mostert,6,25,0,1,0,23,1,0.167,0,0,7
Rishard Matthews,5,24,0,0,0,11,1,0.2,0,0,9
Sean Culkin,1,24,0,1,0,24,1,1.0,0,0,1
Brandon Zylstra,1,23,0,1,0,23,1,1.0,0,0,2
Tyrone Swoopes,1,23,0,1,0,23,1,1.0,0,0,1
Keith Smith,5,23,0,0,0,8,3,0.6,0,0,7
Devonta Freeman,5,23,0,0,0,14,0,0.0,0,0,7
Orson Charles,3,23,0,0,0,9,0,0.0,0,0,5
C.J. Prosise,3,22,0,0,0,8,0,0.0,0,0,3
Gehrig Dieter,1,22,0,1,0,22,1,1.0,0,0,3
Roc Thomas,2,21,0,0,0,15,0,0.0,0,0,4
Marcus Mariota,1,21,0,1,0,21,1,1.0,0,0,1
Justin Hunter,3,21,0,0,0,12,2,0.667,0,0,13
Keith Ford,3,21,0,0,0,8,1,0.333,0,0,5
Malik Turner,2,20,0,0,0,19,1,0.5,0,0,3
Gus Edwards,2,20,0,0,0,13,1,0.5,0,0,2
Jay Ajayi,5,20,0,0,0,12,1,0.2,0,0,6
Detrez Newsome,2,19,0,0,0,11,2,1.0,0,0,2
Terrance Williams,2,18,0,0,0,12,1,0.5,0,0,3
Stevan Ridley,3,18,0,0,0,10,1,0.333,1,0,4
Brian Quick,3,18,0,0,0,6,2,0.667,0,0,3
Nick Williams,2,17,0,0,0,11,1,0.5,0,0,5
De'Lance Turner,2,17,0,0,0,10,0,0.0,0,0,2
Matt Lengel,3,17,1,0,0,9,2,0.667,0,0,8
KhaDarel Hodge,2,17,0,0,0,14,1,0.5,0,0,3
Derrick Coleman,2,17,0,0,0,12,1,0.5,0,0,3
J'Mon Moore,2,15,0,0,0,10,1,0.5,0,0,3
Nick Bellore,4,15,0,0,0,8,2,0.5,0,0,4
Cameron Artis-Payne,3,15,0,0,0,13,1,0.333,0,0,4
Tim White,1,14,0,0,0,14,1,1.0,0,0,1
Zach Line,5,14,2,0,0,5,2,0.4,0,0,10
Matt Flanagan,1,14,0,0,0,14,1,1.0,0,0,1
