Player,FF,FR,FR TD
George Iloka,1,0,0
Maurice Hurst,1,0,0
Margus Hunt,1,1,0
Marlon Humphrey,1,0,0
Charley Hughlett,1,0,0
Mike Hughes,1,0,0
Sam Hubbard,1,1,1
Buddy Howell,1,0,0
Anthony Hitchens,1,0,0
Cameron Heyward,1,1,0
Jeff Heath,1,0,0
Vernon Hargreaves III,1,0,0
Shaun Dion Hamilton,1,0,0
Joe Haden,1,0,0
Lawrence Guy,1,0,0
Kamu Grugier-Hill,1,0,0
Brent Grimes,1,0,0
Shaq Thompson,1,0,0
Raven Greene,1,0,0
Brandon Graham,1,1,0
Kenny Golladay,1,1,0
Adarius Taylor,1,0,0
Clayton Geathers,1,0,0
Kendall Fuller,1,0,0
John Franklin-Myers,1,1,0
Clayton Fejedelem,1,1,1
Matthias Farley,1,0,0
Antone Exum,1,0,0
Rhett Ellison,1,0,0
Mario Edwards,1,0,0
Bud Dupree,1,0,0
Brandon Dunn,1,0,0
Patrick DiMarco,1,0,0
James Develin,1,0,0
A.J. Derby,1,0,0
Nick DeLuca,1,0,0
Tyeler Davison,1,0,0
Michael Davis,1,0,0
Jarrad Davis,1,1,0
Jalen Davis,1,0,0
Corey Davis,1,0,0
Carlton Davis,1,1,0
Lavonte David,1,2,0
Marcus Davenport,1,0,0
Marcell Dareus,1,0,0
Tyrone Crawford,1,0,0
Jack Crawford,1,0,0
Fletcher Cox,1,1,0
Kamalei Correa,1,0,0
Marcus Cooper,1,0,0
Will Compton,1,0,0
Landon Collins,1,0,0
Jamie Collins,1,1,0
Kurt Coleman,1,0,0
Justin Coleman,1,2,1
Jadeveon Clowney,1,3,1
Adrian Clayborn,1,0,0
Kenny Clark,1,2,0
Ibraheim Campbell,1,0,0
Calais Campbell,1,1,0
Malcolm Butler,1,0,0
Adam Butler,1,0,0
Deon Bush,1,0,0
Deante Burton,1,0,0
Artie Burns,1,0,0
Deone Bucannon,1,1,0
Jatavis Brown,1,0,0
Anthony Brown,1,0,0
Andre Branch,1,1,0
James Bradberry,1,0,0
Tre Boston,1,1,0
Briean Boddy-Calhoun,1,0,0
Antoine Bethea,1,0,0
Bene' Benwikere,1,0,0
Vonn Bell,1,1,0
Mark Barron,1,0,0
Anthony Barr,1,0,0
Budda Baker,1,2,1
Chidobe Awuzie,1,0,0
Genard Avery,1,1,0
Antony Auclair,1,0,0
Jeremiah Attaochu,1,0,0
Eli Apple,1,1,0
Montravius Adams,1,0,0
