Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Jay Cutler,24,5,0,0,0,12,1,5.0,1
Khiry Robinson,22,8,0,0,0,10,1,8.0,1
Isaiah Pead,22,8,0,0,0,4,0,0.0,0
EJ Manuel,22,8,0,0,0,8,3,2.667,1
Kyle Juszczyk,22,5,1,0,0,10,3,1.667,0
Terrelle Pryor,21,8,1,0,0,15,2,4.0,1
Josh McCown,21,7,0,0,0,7,0,0.0,2
Josh Ferguson,20,15,0,0,0,11,0,0.0,0
Drew Brees,20,23,2,0,0,7,7,3.286,0
Bryce Petty,19,5,0,0,0,9,1,5.0,0
Chris Moore,19,3,0,0,0,10,1,3.0,0
Mike James,19,4,0,0,0,9,1,4.0,0
Travaris Cadet,19,4,0,0,0,16,1,4.0,0
C.J. Spiller,18,6,0,0,0,17,2,3.0,0
Cody Kessler,18,11,0,0,0,8,1,11.0,3
Adam Humphries,18,5,0,0,0,8,0,0.0,0
Jarvis Landry,17,5,0,0,0,13,1,5.0,0
Colton Schmidt,16,1,0,0,0,16,1,1.0,1
Jared Goff,16,8,1,0,0,6,1,8.0,0
Kendall Wright,15,1,0,0,0,15,1,1.0,0
Adam Thielen,15,2,0,0,0,11,1,2.0,0
Cedric Peerman,15,6,0,0,0,4,0,0.0,0
Marc Mariani,15,1,0,0,0,15,1,1.0,0
Zach Line,15,7,0,0,0,5,3,2.333,0
Josh Huff,15,4,0,0,0,15,1,4.0,0
Antonio Andrews,15,2,0,0,0,9,0,0.0,0
Ben Roethlisberger,14,16,1,0,0,14,3,5.333,2
Sammie Coates,14,4,0,0,0,15,1,4.0,0
Nelson Agholor,14,5,0,0,0,5,0,0.0,0
Jerome Felton,13,8,0,0,0,6,5,1.6,0
Stepfan Taylor,12,4,0,0,0,12,1,4.0,0
Tom Savage,12,6,0,0,0,11,2,3.0,0
Terrence Magee,12,3,0,0,0,5,0,0.0,0
Quincy Enunwa,12,1,0,0,0,12,1,1.0,0
Delanie Walker,11,2,0,0,0,8,1,2.0,0
Tommylee Lewis,11,3,0,0,0,7,1,3.0,0
Bronson Hill,11,2,0,0,0,7,0,0.0,0
Percy Harvin,11,1,0,0,0,11,1,1.0,0
Phillip Dorsett,10,2,0,0,0,7,0,0.0,0
Stefon Diggs,10,3,0,0,0,12,1,3.0,0
Corey Coleman,10,2,0,0,0,9,0,0.0,0
John Brown,10,1,0,0,0,10,1,1.0,0
Martellus Bennett,10,2,0,0,0,6,0,0.0,0
Kevin White,9,1,0,0,0,9,0,0.0,0
Geno Smith,9,2,0,0,0,7,1,2.0,0
Russell Shepard,9,1,0,0,0,9,0,0.0,0
Jay Prosch,9,4,0,0,0,5,3,1.333,0
Chris Hogan,9,3,0,0,0,6,0,0.0,0
Antonio Brown,9,3,0,0,0,13,1,3.0,0
Odell Beckham Jr.,9,1,0,0,0,9,0,0.0,0
Paul Lasike,8,3,0,0,0,5,3,1.0,0
Bryce Treggs,7,2,0,0,0,4,2,1.0,0
Stevan Ridley,7,3,0,0,0,7,1,3.0,0
Daryl Richardson,7,2,0,0,0,6,0,0.0,0
Quan Bray,7,1,0,0,0,7,0,0.0,0
Cole Beasley,7,1,0,0,0,7,0,0.0,0
Joe Banyard,7,2,0,0,0,7,0,0.0,0
Robert Woods,6,1,0,0,0,6,1,1.0,0
Eli Rogers,6,1,0,0,0,6,0,0.0,0
Raheem Mostert,6,1,0,0,0,6,0,0.0,0
Cameron Meredith,6,1,0,0,0,6,0,0.0,0
Brandon McManus,6,1,0,0,0,6,0,0.0,0
Jimmy Garoppolo,6,10,0,0,0,10,1,10.0,1
Corey Brown,6,2,0,0,0,9,0,0.0,0
Joique Bell,6,3,0,0,0,6,0,0.0,0
Shane Wynn,5,2,0,0,0,7,0,0.0,0
Keith Smith,5,2,0,0,0,3,2,1.0,0
Matthew Slater,5,1,0,0,0,5,1,1.0,0
Mohamed Sanu,5,1,0,0,0,5,0,0.0,0
Paul Richardson,5,1,0,0,0,5,1,1.0,0
Shaun Hill,5,5,0,0,0,9,0,0.0,0
Larry Fitzgerald,5,2,0,0,0,4,0,0.0,0
Derek Watt,4,2,0,0,0,2,2,1.0,0
Bryan Walters,4,1,0,0,0,4,1,1.0,0
Golden Tate,4,10,0,0,0,11,1,10.0,1
Emmanuel Sanders,4,1,0,0,0,4,0,0.0,0
Brandon Bolden,4,1,0,0,0,4,0,0.0,0
Derek Anderson,4,1,0,0,0,4,0,0.0,1
Bralon Addison,4,1,0,0,0,4,0,0.0,0
Scott Tolzien,3,6,0,0,0,5,0,0.0,0
Marvin Jones,3,1,0,0,0,3,0,0.0,0
Jalston Fowler,3,1,0,0,0,3,0,0.0,0
Tyler Ervin,3,1,0,0,0,3,0,0.0,0
Matt Cassel,3,4,0,0,0,3,0,0.0,0
Will Tukuafu,2,2,0,0,0,2,0,0.0,0
Chris Prosinski,2,1,0,0,0,2,1,1.0,0
Breshad Perriman,2,1,0,0,0,2,0,0.0,0
J.D. McKissic,2,1,0,0,0,2,0,0.0,0
Dexter McCluster,2,3,0,0,0,2,0,0.0,0
Bradley Marquez,2,1,0,0,0,2,0,0.0,0
Malcolm Johnson,2,1,0,0,0,2,0,0.0,1
Coby Fleener,2,1,1,0,0,2,1,1.0,0
Matt Barkley,2,7,0,0,0,5,0,0.0,2
Doug Baldwin,2,3,0,0,0,4,0,0.0,0
Charlie Whitehurst,1,2,0,0,0,2,0,0.0,0
Tajae Sharpe,1,1,0,0,0,1,0,0.0,0
Dontari Poe,1,1,1,0,0,1,1,1.0,0
Jakeem Grant,1,1,0,0,0,1,0,0.0,0
George Farmer,1,1,0,0,0,1,0,0.0,0
Rhett Ellison,1,1,1,0,0,1,1,1.0,0
Eric Ebron,1,1,1,0,0,1,1,1.0,0
Trevone Boykin,1,8,0,0,0,11,1,8.0,0
