Player,INT,INT TD,INT Yds,Lng
Jomal Wiltz,1,0,0,0
Mack Wilson,1,0,21,21
Shawn Williams,1,0,12,12
P.J. Williams,1,0,0,0
Jordan Whitehead,1,0,11,11
Jermaine Whitehead,1,0,0,0
Devin White,1,0,5,5
Kyzir White,1,0,0,0
B.W. Webb,1,0,1,1
Trae Waynes,1,0,0,0
Fred Warner,1,1,46,46
Tracy Walker III,1,0,0,0
Anthony Walker,1,0,0,0
Bobby Wagner,1,0,6,6
Nick Vigil,1,0,34,34
Kenny Vaccaro,1,0,2,2
Shy Tuttle,1,0,19,19
Jalen Thompson,1,0,18,18
Roderic Teamer,1,0,3,3
Jahlani Tavai,1,0,2,2
Cameron Sutton,1,0,26,26
Chandon Sullivan,1,0,7,7
Roquan Smith,1,0,0,0
Preston Smith,1,0,5,5
Jaylon Smith,1,0,0,0
Jimmy Smith,1,0,7,7
John Simon,1,0,6,6
Eric Rowe,1,1,35,35
Craig Robertson,1,0,3,3
Darryl Roberts,1,0,13,13
Jalen Ramsey,1,0,13,13
Brian Poole,1,1,15,15
Kevin Pierre-Louis,1,0,2,2
Denzel Perryman,1,0,0,0
Jabrill Peppers,1,1,32,32
Will Parks,1,0,11,11
Alec Ogletree,1,0,0,0
Mark Nzeocha,1,0,1,1
Josh Norman,1,0,2,2
Derrick Nnadi,1,0,0,0
Yannick Ngakoue,1,1,23,23
Steven Nelson,1,0,33,33
Trent Murphy,1,0,0,0
Byron Murphy,1,0,0,0
Trayvon Mullen,1,0,0,0
C.J. Mosley,1,1,17,17
Emmanuel Moseley,1,0,3,3
Nicholas Morrow,1,0,11,11
Terrance Mitchell,1,0,28,28
Jalen Mills,1,0,0,0
Jason McCourty,1,0,16,16
Marcus Maye,1,0,0,0
Arthur Maulet,1,0,13,13
Blake Martinez,1,0,22,22
Dean Lowry,1,0,7,7
Julian Love,1,0,30,30
Star Lotulelei,1,0,0,0
Ryan Lewis,1,0,3,3
Sean Lee,1,0,25,25
Devaroe Lawrence,1,0,0,0
Marshon Lattimore,1,0,0,0
Harold Landry,1,0,0,0
Chris Lammons,1,0,0,0
Nick Kwiatkoski,1,0,4,4
A.J. Klein,1,1,14,14
Mychal Kendricks,1,0,1,1
Kam Kelly,1,0,10,10
Jayron Kearse,1,0,0,0
Karl Joseph,1,0,0,0
Johnathan Joseph,1,0,0,0
Dre'Mont Jones,1,0,7,7
Deion Jones,1,1,27,27
Trumaine Johnson,1,0,3,3
A.J. Johnson,1,0,0,0
William Jackson,1,0,19,19
Myles Jack,1,0,14,14
Melvin Ingram,1,0,9,9
Micah Hyde,1,0,0,0
Maurice Hurst,1,0,55,55
Mike Hughes,1,0,0,0
Xavien Howard,1,0,0,0
Mike Hilton,1,0,1,1
Chris Harris,1,0,11,11
Shaun Dion Hamilton,1,0,0,0
Nate Hairston,1,0,0,0
Lawrence Guy,1,0,5,5
Everson Griffen,1,0,17,17
Dre Greenlaw,1,0,47,47
Clayton Geathers,1,0,0,0
Chauncey Gardner-Johnson,1,0,28,28
Rashad Fenton,1,0,0,0
Javien Elliott,1,0,0,0
Trey Edmunds,1,0,2,2
Tremaine Edmunds,1,0,0,0
Demario Davis,1,0,1,1
Carlton Davis,1,0,0,0
Lavonte David,1,0,26,26
Gareon Conley,1,0,3,3
Justin Coleman,1,0,55,55
Jadeveon Clowney,1,1,27,27
Frank Clark,1,0,5,5
Chuck Clark,1,0,12,12
T.J. Carrie,1,0,0,0
Morgan Burnett,1,0,43,43
James Burgess,1,0,2,2
Jayon Brown,1,0,0,0
Terrence Brooks,1,0,0,0
Nigel Bradham,1,0,22,22
A.J. Bouye,1,0,25,25
Jon Bostic,1,0,26,26
Nick Bosa,1,0,46,46
Vince Biegel,1,0,7,7
Antoine Bethea,1,0,7,7
Vonn Bell,1,0,19,19
Tarell Basham,1,0,1,1
Mark Barron,1,0,0,0
Shaquil Barrett,1,0,4,4
Anthony Barr,1,0,2,2
Jerome Baker,1,0,34,34
Chidobe Awuzie,1,0,0,0
Troy Apke,1,0,33,33
Mackensie Alexander,1,0,0,0
Kwon Alexander,1,0,0,0
Jamal Adams,1,1,61,61
Andrew Adams,1,0,21,21
