Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Damien Williams,498,111,5,2,2,91,22,5.045,1
Royce Freeman,496,132,3,1,0,26,22,6.0,0
Peyton Barber,470,154,6,0,0,17,23,6.696,1
LeSean McCoy,465,101,4,4,0,39,24,4.208,2
James Conner,464,116,4,2,0,25,26,4.462,1
Alexander Mattison,462,100,1,4,0,35,19,5.263,1
Jamaal Williams,460,107,1,1,1,45,23,4.652,0
Tony Pollard,455,86,2,4,1,44,21,4.095,1
Benny Snell,426,108,2,3,0,23,19,5.684,1
Deshaun Watson,413,82,7,2,0,30,29,2.828,6
Duke Johnson,410,83,2,3,1,40,17,4.882,1
Kerryon Johnson,403,113,3,1,0,20,22,5.136,1
DeAndre Washington,387,108,3,1,0,36,23,4.696,0
Bo Scarbrough,377,89,1,2,0,30,15,5.933,1
Rashaad Penny,370,65,3,4,1,58,16,4.063,1
David Johnson,345,94,2,0,0,18,20,4.7,0
Gardner Minshew,344,67,0,2,0,21,20,3.35,3
Russell Wilson,342,75,3,1,0,21,17,4.412,3
Brian Hill,323,78,2,2,0,27,19,4.105,0
Jordan Wilkins,307,51,2,2,1,55,12,4.25,0
Chase Edmonds,303,60,4,4,0,37,12,5.0,0
Rex Burkhead,302,65,3,1,0,33,18,3.611,0
Daniel Jones,279,45,2,1,0,26,21,2.143,6
Dak Prescott,277,52,3,2,1,42,19,2.737,2
Ty Johnson,273,63,0,1,1,40,11,5.727,0
Mike Boone,273,49,3,3,2,59,9,5.444,0
James White,263,67,1,1,0,32,15,4.467,0
Malcolm Brown,255,69,5,0,0,17,16,4.313,0
Jameis Winston,250,59,1,4,0,26,18,3.278,3
Boston Scott,245,61,5,1,0,25,17,3.588,1
Derrius Guice,245,42,2,3,1,60,9,4.667,0
Carson Wentz,243,62,1,0,0,19,21,2.952,6
Ryan Fitzpatrick,243,54,4,1,0,20,16,3.375,5
Jonathan Williams,235,49,1,1,1,48,13,3.769,0
Bilal Powell,229,59,0,0,0,17,12,4.917,0
Jacoby Brissett,228,56,4,1,0,24,20,2.8,3
Justice Hill,225,58,2,0,0,18,10,5.8,0
Patrick Mahomes,218,43,2,3,0,25,15,2.867,1
Tarik Cohen,213,64,0,0,0,19,15,4.267,0
Dion Lewis,209,54,0,0,0,17,6,9.0,1
J.D. McKissic,205,38,0,2,1,44,8,4.75,0
Mark Walton,201,53,0,0,0,19,11,4.818,0
Justin Jackson,200,29,0,3,1,40,9,3.222,0
Nyheim Hines,199,52,2,0,0,18,16,3.25,0
Mitchell Trubisky,193,48,2,1,0,23,12,4.0,2
Ryan Tannehill,185,43,4,3,0,25,14,3.071,1
Aaron Rodgers,183,46,1,0,0,17,9,5.111,1
Kareem Hunt,179,43,2,0,0,16,8,5.375,1
Jaylen Samuels,175,66,1,0,0,13,9,7.333,0
Giovani Bernard,170,53,0,1,0,25,10,5.3,0
Patrick Laird,168,62,1,0,0,18,9,6.889,0
Deebo Samuel,159,14,3,4,0,31,5,2.8,0
Taysom Hill,156,27,1,2,0,30,10,2.7,0
Jeff Driskel,151,22,1,1,0,23,10,2.2,0
Matt Ryan,147,32,1,0,0,12,10,3.2,1
Darrell Henderson,147,39,0,1,0,22,10,3.9,0
Trevor Davis,146,8,2,2,2,120,4,2.0,0
Jalen Richard,145,39,0,0,0,13,10,3.9,0
Darrel Williams,141,41,3,1,1,41,12,3.417,1
Baker Mayfield,141,28,3,0,0,18,15,1.867,2
Chris Thompson,138,37,0,0,0,16,7,5.286,0
Kalen Ballage,135,71,3,0,0,8,10,7.1,0
Myles Gaskin,133,36,1,1,0,27,7,5.143,0
Curtis Samuel,130,19,1,0,0,16,7,2.714,0
Marcus Mariota,129,24,0,0,0,15,5,4.8,1
Darwin Thompson,128,37,1,0,0,12,9,4.111,0
Kerrith Whyte,122,24,0,1,0,21,5,4.8,0
Reggie Bonnafon,116,16,1,1,1,59,2,8.0,0
Robert Woods,115,17,1,1,0,20,5,3.4,0
Ameer Abdullah,115,23,0,0,0,15,4,5.75,0
Travis Homer,114,18,0,1,0,29,6,3.0,0
Wayne Gallman,110,29,2,1,0,22,6,4.833,1
Ryquell Armstead,108,35,0,0,0,16,5,7.0,0
Ito Smith,106,22,1,1,0,28,10,2.2,0
Kyle Allen,106,32,2,0,0,17,9,3.556,3
Jeff Wilson,105,27,4,1,0,25,9,3.0,0
Cordarrelle Patterson,103,17,0,1,1,46,4,4.25,0
Ty Montgomery,103,32,0,0,0,15,2,16.0,0
Dwayne Haskins,101,21,0,1,0,23,7,3.0,4
Christian Kirk,93,10,0,1,0,28,4,2.5,0
Trey Edmunds,92,22,0,1,1,45,2,11.0,0
Jon Hilliman,91,30,0,0,0,10,6,5.0,1
Steven Sims,85,9,1,1,1,65,2,4.5,0
Derek Carr,82,26,2,0,0,15,7,3.714,5
Wendell Smallwood,81,22,0,0,0,17,4,5.5,0
Jonnu Smith,78,4,0,1,1,57,2,2.0,0
Ryan Finley,77,10,0,1,0,24,4,2.5,0
Andy Dalton,73,32,4,0,0,17,12,2.667,3
Sterling Shepard,72,6,0,2,0,23,3,2.0,0
C.J. Prosise,72,23,1,0,0,17,4,5.75,1
Drew Lock,72,18,0,0,0,12,5,3.6,2
Robert Griffin III,70,20,0,0,0,16,5,4.0,0
Devlin Hodges,68,21,0,2,0,22,5,4.2,1
Brandon Bolden,68,15,3,1,0,21,5,3.0,0
Matthew Stafford,66,20,0,0,0,12,5,4.0,2
Darren Sproles,66,17,0,0,0,17,3,5.667,0
T.J. Yeldon,63,17,0,0,0,12,5,3.4,1
Kirk Cousins,63,31,1,0,0,14,8,3.875,5
Anthony Levine,62,2,0,1,1,60,2,1.0,0
Jimmy Garoppolo,62,46,1,0,0,11,13,3.538,5
Sam Darnold,62,33,2,1,0,24,6,5.5,5
Stefon Diggs,61,5,0,1,0,27,3,1.667,0
Dwayne Washington,60,8,0,1,0,31,2,4.0,0
A.J. Brown,60,3,1,1,1,49,2,1.5,0
Paul Perkins,58,24,0,0,0,26,6,4.0,0
Vyncint Smith,52,3,1,1,0,20,3,1.0,0
Mike Davis,52,24,0,0,0,18,0,0.0,0
Brandin Cooks,52,6,0,1,0,27,3,2.0,0
Spencer Ware,51,17,0,0,0,6,3,5.667,0
Qadree Ollison,50,22,4,0,0,6,6,3.667,1
Isaiah McKenzie,49,8,0,0,0,16,4,2.0,0
Dontrell Hilliard,49,13,2,0,0,11,3,4.333,0
N'Keal Harry,49,5,0,0,0,18,4,1.25,0
Tra Carson,48,18,0,0,0,19,3,6.0,0
Tavon Austin,47,6,1,1,0,20,2,3.0,1
Albert Wilson,45,5,0,1,0,28,1,5.0,0
C.J. Anderson,43,16,0,0,0,9,1,16.0,0
Mason Rudolph,42,19,0,0,0,13,6,3.167,0
Diontae Johnson,41,4,0,0,0,17,2,2.0,0
Brett Hundley,41,7,0,0,0,14,3,2.333,0
D.J. Moore,40,6,0,0,0,13,3,2.0,0
Taiwan Jones,40,9,0,0,0,11,3,3.0,0
Jared Goff,40,33,2,0,0,8,5,6.6,3
Elijhaa Penny,39,15,0,0,0,6,2,7.5,0
AJ McCarron,39,5,1,0,0,18,3,1.667,0
Brandon Allen,39,10,0,0,0,11,4,2.5,0
Javorius Allen,36,10,1,0,0,19,3,3.333,0
Calvin Ridley,34,2,0,0,0,19,2,1.0,0
Marshawn Lynch,34,12,1,0,0,15,2,6.0,0
Parris Campbell,34,4,0,1,0,22,1,4.0,0
Tom Brady,34,26,3,0,0,17,8,3.25,1
Alex Erickson,33,5,0,0,0,17,2,2.5,0
Deonte Harris,31,4,0,0,0,10,2,2.0,0
Teddy Bridgewater,31,28,0,0,0,11,4,7.0,0
David Blough,31,8,0,0,0,9,1,8.0,1
Jay Ajayi,30,10,0,0,0,11,3,3.333,0
Philip Rivers,29,12,0,0,0,12,2,6.0,3
Robert Foster,29,2,0,1,0,22,1,2.0,0
Kenjon Barner,28,4,0,0,0,12,1,4.0,0
Dede Westbrook,27,5,0,0,0,8,0,0.0,0
Devine Ozigbo,27,9,0,0,0,9,1,9.0,0
Julian Edelman,27,8,0,0,0,9,2,4.0,0
Derek Carrier,27,1,0,1,0,27,1,1.0,0
Dalyn Dawkins,26,11,0,0,0,14,2,5.5,0
David Moore,25,3,0,0,0,19,1,3.0,0
Josh Reynolds,23,5,0,0,0,12,2,2.5,0
Tyreek Hill,23,8,0,0,0,5,1,8.0,0
Nick Foles,23,4,0,0,0,13,2,2.0,0
Tyler Boyd,23,4,0,0,0,10,1,4.0,0
George Kittle,22,5,0,0,0,18,1,5.0,0
Will Grier,22,7,0,0,0,11,2,3.5,1
Allen Lazard,21,1,0,1,0,21,1,1.0,0
D'Ernest Johnson,21,4,0,0,0,13,0,0.0,0
Wes Hills,21,10,2,0,0,15,3,3.333,0
Phillip Dorsett,21,3,0,0,0,9,1,3.0,0
Troymaine Pope,20,10,0,0,0,8,0,0.0,0
Zach Line,20,7,0,0,0,5,5,1.4,0
Taylor Gabriel,20,3,0,0,0,14,1,3.0,0
Bennie Fowler,20,1,0,1,0,20,1,1.0,0
Joe Flacco,20,12,0,0,0,9,4,3.0,0
D.J. Chark,20,2,0,1,0,20,1,2.0,0
Chester Rogers,18,1,0,0,0,18,1,1.0,0
DeAndre Hopkins,18,2,0,0,0,12,2,1.0,0
Ted Ginn,18,3,0,0,0,12,2,1.5,0
Courtland Sutton,17,3,0,0,0,9,1,3.0,0
Dare Ogunbowale,17,11,2,0,0,12,3,3.667,0
Alec Ingold,17,9,0,0,0,4,7,1.286,0
Mecole Hardman,17,4,0,0,0,9,1,4.0,0
C.J. Ham,17,7,0,0,0,9,2,3.5,0
Golden Tate,16,1,0,0,0,16,1,1.0,0
Breshad Perriman,16,2,0,0,0,13,1,2.0,0
Samaje Perine,16,5,0,0,0,9,1,5.0,0
Zach Pascal,16,2,0,0,0,12,1,2.0,0
Scott Miller,16,2,0,0,0,18,1,2.0,0
Keenan Allen,16,3,0,0,0,18,1,3.0,0
Andy Isabella,15,4,0,0,0,6,0,0.0,0
Marquise Goodwin,15,1,0,0,0,15,1,1.0,0
Colt McCoy,14,2,0,0,0,9,1,2.0,0
Keke Coutee,14,2,1,0,0,10,2,1.0,0
Josh Rosen,13,3,0,0,0,6,0,0.0,0
Sammy Watkins,12,2,0,0,0,11,1,2.0,0
Case Keenum,12,9,1,0,0,9,2,4.5,2
Damien Harris,12,4,0,0,0,13,0,0.0,0
Russell Gage,12,4,0,0,0,6,0,0.0,0
Josh Adams,12,8,0,0,0,10,1,8.0,0
Dexter Williams,11,5,0,0,0,5,0,0.0,0
Mohamed Sanu,11,3,0,0,0,10,1,3.0,0
DK Metcalf,11,2,0,0,0,7,0,0.0,0
John Franklin,11,1,0,0,0,11,1,1.0,0
Isaiah Ford,11,1,0,0,0,11,1,1.0,0
Randall Cobb,11,2,0,0,0,7,0,0.0,0
Alex Armah,11,6,1,0,0,4,1,6.0,0
Derek Watt,10,7,1,0,0,3,6,1.167,0
T.J. Logan,10,3,0,0,0,6,0,0.0,0
Jarvis Landry,10,1,0,0,0,10,1,1.0,0
Buddy Howell,10,5,0,0,0,4,1,5.0,0
Tyler Ervin,10,1,0,0,0,10,1,1.0,0
Odell Beckham Jr.,10,3,0,0,0,11,1,3.0,0
Marquez Valdes-Scantling,9,2,0,0,0,9,0,0.0,0
Anthony Sherman,9,3,0,0,0,5,3,1.0,0
Jordan Scarlett,9,4,0,0,0,6,0,0.0,0
Dawson Knox,9,1,0,0,0,9,1,1.0,0
John Kelly,9,3,0,0,0,6,0,0.0,0
Johnny Holton,9,1,0,0,0,9,1,1.0,0
Josh Ferguson,9,3,0,0,0,7,1,3.0,0
Devontae Booker,9,2,0,0,0,5,0,0.0,0
Jamal Agnew,9,1,0,0,0,9,1,1.0,0
Keith Smith,8,5,0,0,0,3,4,1.25,0
Ryan Nall,8,2,0,0,0,7,1,2.0,0
Chris Godwin,8,1,0,0,0,8,0,0.0,0
Tyrod Taylor,7,10,0,0,0,9,1,10.0,0
Ben Roethlisberger,7,1,0,0,0,7,0,0.0,0
Andre Roberts,7,1,0,0,0,7,0,0.0,0
Eli Manning,7,4,0,0,0,6,1,4.0,1
Kyle Juszczyk,7,3,0,0,0,6,1,3.0,0
Marvin Hall,7,1,0,0,0,7,0,0.0,0
Evan Engram,7,3,0,0,0,5,0,0.0,0
Will Dissly,7,1,0,0,0,7,0,0.0,0
Patrick DiMarco,7,3,0,0,0,4,0,0.0,0
John Brown,7,2,0,0,0,4,0,0.0,0
Tony Brooks-James,7,8,0,0,0,8,0,0.0,0
Geronimo Allison,7,1,0,0,0,7,0,0.0,0
Nelson Agholor,7,2,0,0,0,16,1,2.0,0
De'Lance Turner,6,4,0,0,0,5,0,0.0,0
Adam Thielen,6,4,1,0,0,3,1,4.0,0
Diontae Spencer,6,3,0,0,0,9,0,0.0,0
Nick Scott,6,1,0,0,0,6,0,0.0,0
Bisi Johnson,6,1,0,0,0,6,0,0.0,0
Chase Daniel,6,6,0,0,0,4,2,3.0,0
Amari Cooper,6,1,0,0,0,6,0,0.0,0
Keelan Cole,6,1,0,0,0,6,0,0.0,0
Greg Ward,5,1,0,0,0,5,0,0.0,0
Darren Waller,5,2,0,0,0,7,0,0.0,0
De'Anthony Thomas,5,2,0,0,0,5,1,2.0,0
Da'Mari Scott,5,1,0,0,0,5,0,0.0,0
Colin Jones,5,1,0,0,0,5,1,1.0,0
Jakeem Grant,5,4,1,0,0,7,1,4.0,0
Antonio Brown,5,1,0,0,0,5,1,1.0,0
Clive Walford,4,0,0,0,0,4,0,0.0,0
John Ross,4,3,0,0,0,5,0,0.0,0
Alfred Morris,4,1,0,0,0,4,1,1.0,0
Cooper Kupp,4,2,0,0,0,6,0,0.0,0
Travis Kelce,4,1,1,0,0,4,1,1.0,0
Erik Harris,4,1,0,0,0,4,1,1.0,0
Jamison Crowder,4,1,0,0,0,4,0,0.0,0
Robby Anderson,4,1,0,0,0,4,0,0.0,0
Danny Vitale,3,1,0,0,0,3,0,0.0,0
Senorise Perry,3,3,0,0,0,6,0,0.0,0
Zay Jones,3,1,0,0,0,3,0,0.0,0
KeeSean Johnson,3,1,0,0,0,3,0,0.0,0
James Develin,3,2,0,0,0,2,1,2.0,0
Andrew Beck,3,1,0,0,0,3,1,1.0,0
Mike Williams,2,1,0,0,0,2,0,0.0,0
Trevon Wesco,2,1,0,0,0,2,1,1.0,0
Willie Snead,2,1,0,0,0,2,0,0.0,0
Allen Robinson,2,1,0,0,0,2,0,0.0,0
Vance McDonald,2,1,0,0,0,2,0,0.0,0
Alshon Jeffery,2,1,1,0,0,2,1,1.0,0
Brian Hoyer,2,8,0,0,0,6,0,0.0,0
Matt Haack,2,1,0,0,0,2,1,1.0,0
Pharoh Cooper,2,1,0,0,0,2,0,0.0,0
Trace McSorley,1,1,0,0,0,1,1,1.0,0
Marqise Lee,1,1,0,0,0,1,0,0.0,0
Andy Janovich,1,1,1,0,0,1,1,1.0,0
Adam Humphries,1,1,0,0,0,1,0,0.0,0
Josh Gordon,1,1,0,0,0,1,0,0.0,0
