Player,FF,FR,FR TD
Ben Burr-Kirven,1,0,0
Brian Burns,1,1,1
James Burgess,1,1,0
Sean Murphy-Bunting,1,0,0
Taven Bryan,1,0,0
Tyus Bowser,1,1,1
Nick Bosa,1,1,0
Joey Bosa,1,0,0
Brandon Bolden,1,0,0
Chris Board,1,0,0
Jessie Bates,1,1,0
Daren Bates,1,1,0
Anthony Barr,1,1,0
Ben Banogu,1,0,0
Budda Baker,1,0,0
Denico Autry,1,0,0
Blessuan Austin,1,0,0
Dorance Armstrong,1,0,0
Eli Apple,1,0,0
Prince Amukamara,1,1,0
Tyson Alualu,1,0,0
Lorenzo Alexander,1,0,0
Kwon Alexander,1,0,0
Jaire Alexander,1,1,0
Jamal Agnew,1,0,0
Tyrell Adams,1,0,0
Andrew Adams,1,0,0
Sam Acho,1,0,0
