Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Mike Thomas,13,132,1,2,0,29,7,0.538,1,0,17
Cordarrelle Patterson,21,132,0,1,0,25,7,0.333,0,0,25
Jesse James,14,129,2,2,0,31,6,0.429,0,0,22
Gus Edwards,9,129,0,3,0,34,4,0.444,0,0,13
Dion Lewis,19,127,1,0,0,17,8,0.421,0,0,29
Damion Ratley,8,126,0,2,0,58,4,0.5,2,0,20
Alexander Mattison,13,125,1,1,0,28,5,0.385,0,0,15
Cam Akers,11,123,1,2,0,38,4,0.364,0,0,14
Albert Okwuegbunam,11,121,1,1,0,27,6,0.545,0,0,15
J.K. Dobbins,18,120,0,0,0,19,4,0.222,0,0,23
Tyler Kroft,12,119,3,1,0,38,9,0.75,0,0,16
Chris Hogan,14,118,0,1,0,27,6,0.429,0,0,26
Equanimeous St. Brown,7,117,1,3,0,24,6,0.857,0,0,12
Darrel Williams,18,116,0,0,0,15,6,0.333,0,0,26
Alshon Jeffery,6,115,1,3,0,39,5,0.833,0,0,13
Jace Sternberger,12,114,1,2,0,27,6,0.5,0,0,15
Sony Michel,7,114,1,2,0,31,5,0.714,0,0,9
Derrick Henry,19,114,0,1,1,53,4,0.211,0,0,31
Wayne Gallman,21,114,0,0,0,19,6,0.286,0,0,27
Nick Boyle,14,113,2,1,0,21,8,0.571,0,0,17
Kaden Smith,18,112,0,0,0,16,8,0.444,0,0,21
DeeJay Dallas,17,111,1,0,0,13,5,0.294,0,0,20
Alec Ingold,11,110,1,2,0,23,9,0.818,0,0,15
Blake Bell,11,110,0,1,0,24,7,0.636,0,0,15
Marcedes Lewis,10,107,3,1,0,36,6,0.6,0,0,17
Quez Watkins,7,106,1,2,1,43,4,0.571,0,0,13
Stephen Anderson,8,106,0,1,0,23,7,0.875,0,0,11
Jordan Wilkins,12,105,0,2,0,24,3,0.25,0,0,16
Maxx Williams,8,102,1,2,1,42,4,0.5,0,0,10
Adrian Peterson,12,101,0,1,0,23,4,0.333,0,0,18
LeSean McCoy,15,101,0,0,0,15,3,0.2,0,0,19
C.J. Board,11,101,0,0,0,16,6,0.545,0,0,16
Cameron Batson,12,100,1,0,0,18,7,0.583,0,0,13
Vance McDonald,15,99,0,0,0,15,4,0.267,0,0,20
Ty Johnson,16,99,1,0,0,18,6,0.375,0,0,21
Taysom Hill,8,98,1,2,0,21,4,0.5,0,0,12
C.J. Ham,8,97,1,1,0,30,6,0.75,0,0,13
Matt Breida,9,96,0,2,0,31,5,0.556,0,0,10
Nick Vannett,14,95,1,0,0,19,6,0.429,0,0,20
Zack Moss,14,95,1,1,0,20,5,0.357,0,0,18
Justin Watson,7,94,0,1,0,36,5,0.714,0,0,11
Carlos Hyde,16,93,0,0,0,18,4,0.25,1,0,20
Malcolm Perry,9,92,1,1,0,25,4,0.444,0,0,13
Darrell Daniels,8,92,1,2,0,31,4,0.5,0,0,11
Austin Mack,7,91,0,1,1,50,5,0.714,0,0,11
Travis Homer,9,90,1,1,1,50,4,0.444,0,0,10
Frank Gore,16,89,0,0,0,9,3,0.188,0,0,19
Jamal Agnew,13,89,0,1,0,20,4,0.308,0,0,20
C.J. Uzomah,8,87,1,1,0,23,6,0.75,0,0,11
Trent Taylor,10,86,0,2,0,29,5,0.5,0,0,21
Ryan Griffin,9,86,0,1,0,23,4,0.444,0,0,12
J.J. Arcega-Whiteside,4,85,0,2,0,37,4,1.0,0,0,8
Tyler Ervin,11,84,0,1,0,24,6,0.545,0,0,15
