Player,INT,INT TD,INT Yds,Lng
Eric Lee,1,0,8,8
Dre Kirkpatrick,1,0,101,101
Desmond King,1,1,90,90
Derrick Kindred,1,0,30,30
Miles Killebrew,1,1,35,35
Ryan Kerrigan,1,1,24,24
Eric Kendricks,1,1,31,31
Karl Joseph,1,0,0,0
Cameron Jordan,1,1,0,0
Nazair Jones,1,0,24,24
Josh Jones,1,0,0,0
Jonathan Jones,1,0,6,6
Colin Jones,1,0,10,10
Chris Jones,1,0,0,0
Byron Jones,1,1,21,21
Adam Jones,1,0,0,0
John Johnson,1,0,69,69
Dontae Johnson,1,1,50,50
Tony Jefferson,1,0,13,13
William Jackson,1,1,75,75
Kareem Jackson,1,0,2,2
George Iloka,1,0,14,14
Davon House,1,0,0,0
Damon Harrison,1,0,9,9
Nate Hairston,1,0,21,11
Joe Haden,1,0,1,1
Shaquill Griffin,1,0,0,0
Robert Golden,1,0,0,0
Marcus Gilchrist,1,0,17,17
William Gay,1,0,0,0
E.J. Gaines,1,0,1,1
Mason Foster,1,0,10,10
Clayton Fejedelem,1,0,5,5
Kyle Emanuel,1,0,23,23
Trae Elston,1,0,22,22
Kony Ealy,1,0,9,9
Carlos Dunlap,1,1,16,16
Quinton Dunbar,1,0,0,0
Pierre Desir,1,0,0,0
Jarrad Davis,1,0,12,12
Cody Davis,1,0,0,0
Karlos Dansby,1,0,4,4
Ken Crawley,1,0,0,0
Blake Countess,1,0,19,19
Chris Conte,1,0,0,0
Will Compton,1,0,2,2
Jamie Collins,1,0,0,0
Morris Claiborne,1,0,28,28
Patrick Chung,1,0,30,30
Josh Bynes,1,0,25,25
Juston Burris,1,0,48,48
Artie Burns,1,0,0,0
Deone Bucannon,1,0,39,39
Kentrell Brice,1,0,11,11
Bashaud Breeland,1,1,96,96
Tyus Bowser,1,0,27,27
NaVorro Bowman,1,0,0,0
Justin Bethel,1,1,82,82
Chris Banjo,1,0,0,0
Chidobe Awuzie,1,0,0,0
Adrian Amos,1,1,90,90
Ricardo Allen,1,0,4,4
Keenan Allen,1,0,32,32
Robert Alford,1,0,0,0
Mackensie Alexander,1,0,10,10
Kenneth Acker,1,0,9,9
