Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Alshon Jeffery,43,490,4,6,0,38,36,0.837,0,0,71
Allen Lazard,35,477,3,6,1,43,24,0.686,0,0,52
Aaron Jones,49,474,3,6,2,67,18,0.367,1,0,68
Evan Engram,44,467,3,4,1,75,23,0.523,0,0,68
Le'Veon Bell,66,461,1,2,0,23,20,0.303,1,0,78
O.J. Howard,34,459,1,8,0,33,23,0.676,1,0,53
Tarik Cohen,79,456,3,2,0,31,18,0.228,1,0,104
Marquez Valdes-Scantling,26,452,2,7,5,74,14,0.538,0,0,56
Demarcus Robinson,32,449,4,7,2,44,19,0.594,0,0,55
Jack Doyle,43,448,4,4,0,23,29,0.674,1,0,72
Jimmy Graham,38,447,3,7,1,48,23,0.605,1,0,60
Russell Gage,49,446,1,0,0,19,25,0.51,0,0,74
Jonnu Smith,35,439,3,8,2,57,16,0.457,0,0,44
Saquon Barkley,52,438,2,6,2,65,14,0.269,1,0,73
Tyler Eifert,43,436,3,4,0,27,24,0.558,0,0,63
Demaryius Thomas,36,433,1,4,1,47,22,0.611,0,0,58
Preston Williams,32,428,3,6,0,35,24,0.75,2,0,60
Josh Gordon,27,426,1,8,2,102,16,0.593,0,0,47
Ted Ginn,30,421,2,7,2,45,20,0.667,0,0,56
Ezekiel Elliott,54,420,2,3,0,27,21,0.389,0,0,71
Adam Thielen,30,418,6,8,1,44,18,0.6,0,0,44
Jordan Akins,36,418,2,4,1,53,21,0.583,0,0,55
Allen Hurns,32,416,2,4,0,27,18,0.563,1,0,47
Duke Johnson,44,410,3,1,0,21,18,0.409,0,0,62
Devonta Freeman,59,410,4,2,0,28,17,0.288,1,0,70
Gerald Everett,37,408,2,6,0,33,22,0.595,0,0,59
Phillip Dorsett,29,397,5,6,2,58,17,0.586,0,0,54
Dawson Knox,28,388,2,7,1,49,15,0.536,0,0,50
Chris Thompson,41,378,0,3,0,39,16,0.39,1,0,55
Eric Ebron,31,375,3,4,1,48,20,0.645,0,0,52
Adam Humphries,37,374,2,4,0,30,20,0.541,0,0,47
David Johnson,36,370,4,7,0,31,17,0.472,1,0,47
Kyle Rudolph,39,367,6,3,0,32,24,0.615,0,0,48
T.J. Hockenson,32,367,2,6,0,39,19,0.594,0,0,59
Blake Jarwin,31,365,3,8,1,42,17,0.548,1,0,40
Kelvin Harmon,30,365,0,8,0,30,16,0.533,0,0,44
Nelson Agholor,39,363,3,5,1,43,17,0.436,2,0,69
Keelan Cole,24,361,3,5,2,55,19,0.792,0,0,35
Jakobi Meyers,26,359,0,9,0,35,17,0.654,0,0,41
Damiere Byrd,32,359,1,3,2,58,16,0.5,1,0,46
Kendrick Bourne,30,358,5,4,0,30,23,0.767,0,0,44
Taylor Gabriel,29,353,4,4,1,53,17,0.586,0,0,48
Albert Wilson,43,351,1,4,0,35,22,0.512,0,0,62
Hayden Hurst,30,349,2,4,1,61,16,0.533,0,0,39
Jacob Hollister,41,349,3,3,0,22,16,0.39,0,0,59
Kenyan Drake,50,345,0,2,0,47,15,0.3,0,0,68
Darren Fells,34,341,7,2,0,24,22,0.647,0,0,48
Willie Snead,31,339,5,4,1,50,20,0.645,0,0,45
Tajae Sharpe,25,329,4,4,1,47,20,0.8,0,0,35
Josh Reynolds,21,326,1,8,0,31,15,0.714,0,0,42
Jalen Richard,36,323,0,5,0,33,15,0.417,1,0,43
Nick Boyle,31,321,2,4,0,35,13,0.419,0,0,43
Nyheim Hines,44,320,0,2,0,21,15,0.341,1,0,58
Ryan Griffin,34,320,5,4,1,45,19,0.559,0,0,41
Dontrelle Inman,20,313,0,7,0,78,16,0.8,0,0,34
Irv Smith,36,311,2,5,0,29,17,0.472,1,0,47
Cameron Brate,36,311,4,1,0,37,21,0.583,0,0,55
Steven Sims,34,310,4,2,1,65,18,0.529,0,0,56
Ronald Jones,31,309,0,3,1,41,12,0.387,1,0,40
Jaylen Samuels,47,305,1,1,0,27,19,0.404,1,0,57
David Moore,17,301,2,5,1,60,14,0.824,1,0,34
Cody Latimer,24,300,2,4,2,43,19,0.792,0,0,42
DaeSean Hamilton,28,297,1,4,0,28,19,0.679,0,0,52
Jarius Wright,28,296,0,3,0,33,16,0.571,0,0,58
Melvin Gordon,42,296,1,2,0,25,11,0.262,1,0,55
Bisi Johnson,31,294,3,1,0,23,17,0.548,0,0,45
DeAndre Washington,36,292,0,4,0,28,10,0.278,0,0,40
Joe Mixon,35,287,3,4,0,33,14,0.4,0,0,45
Geronimo Allison,34,287,2,3,0,31,16,0.471,2,0,55
Dare Ogunbowale,35,286,0,1,0,21,14,0.4,1,0,46
Kareem Hunt,37,285,1,2,0,29,17,0.459,0,0,44
Rex Burkhead,27,279,0,4,0,32,10,0.37,1,0,38
Nick Chubb,36,278,0,4,0,32,13,0.361,1,0,49
Marcus Johnson,17,277,2,3,2,50,12,0.706,0,0,33
Vance McDonald,38,273,3,2,0,22,12,0.316,1,0,55
Seth Roberts,21,271,2,3,0,33,18,0.857,0,0,34
Kaden Smith,31,268,3,3,0,32,12,0.387,2,0,42
Chris Carson,37,266,2,2,0,21,10,0.27,1,0,47
Will Dissly,23,262,4,3,0,38,14,0.609,1,0,27
Marvin Hall,7,261,1,6,3,58,7,1.0,0,0,11
Royce Freeman,43,256,1,0,0,19,10,0.233,0,0,50
Greg Ward,28,254,1,1,0,38,18,0.643,0,0,40
Isaiah McKenzie,27,254,1,3,1,46,12,0.444,0,0,39
Keke Coutee,22,254,0,4,1,51,10,0.455,1,0,36
Jamaal Williams,39,253,5,0,0,17,16,0.41,0,0,45
James Conner,34,251,3,4,0,26,14,0.412,0,0,38
Mack Hollins,20,250,0,2,0,40,14,0.7,0,0,43
Mark Ingram,26,247,5,3,0,25,16,0.615,0,0,29
Malik Turner,15,245,1,6,0,33,10,0.667,0,0,22
Paul Richardson,28,245,2,1,0,22,13,0.464,0,0,42
Isaiah Ford,23,244,0,2,0,28,16,0.696,0,0,35
Pharoh Cooper,25,243,1,4,0,28,10,0.4,0,0,33
C.J. Uzomah,27,242,2,2,0,36,12,0.444,0,0,40
Jeremy Sprinkle,26,241,1,2,0,23,13,0.5,1,0,40
Kyle Juszczyk,20,239,1,4,1,49,11,0.55,0,0,24
Charles Clay,18,237,1,4,1,47,12,0.667,0,0,24
Latavius Murray,34,235,1,1,0,30,9,0.265,0,0,43
Tre'Quan Smith,18,234,5,3,0,32,17,0.944,0,0,25
Taysom Hill,19,234,6,5,1,45,14,0.737,0,0,22
Giovani Bernard,30,234,0,2,0,35,7,0.233,2,0,42
J.D. McKissic,34,233,1,3,0,26,7,0.206,0,0,42
Ricky Seals-Jones,14,229,4,5,1,59,10,0.714,1,0,22
Josh Hill,25,226,3,4,0,29,13,0.52,0,0,35
Vyncint Smith,17,225,0,4,0,37,11,0.647,0,0,31
Trevor Davis,16,222,0,4,0,98,8,0.5,2,0,22
Jaron Brown,16,220,2,3,1,48,10,0.625,1,0,26
Jake Kumerow,12,219,1,3,1,49,8,0.667,0,0,21
Tim Patrick,16,218,0,3,0,38,14,0.875,0,0,31
Zay Jones,27,216,0,2,0,39,10,0.37,0,0,45
Delanie Walker,21,215,2,1,0,29,11,0.524,1,0,31
Damien Williams,30,213,2,1,0,32,10,0.333,0,0,37
Todd Gurley,31,207,2,3,0,23,8,0.258,0,0,49
Derrick Henry,18,206,2,2,1,75,4,0.222,0,0,23
Boston Scott,24,204,0,2,0,39,10,0.417,1,0,26
Patrick Laird,23,204,0,2,0,21,13,0.565,0,0,30
Anthony Firkser,14,204,1,5,0,39,9,0.643,0,0,24
Maxx Williams,15,202,1,5,0,28,11,0.733,0,0,18
Damion Ratley,12,200,1,4,1,46,11,0.917,0,0,24
Scott Miller,13,200,1,3,1,48,5,0.385,0,0,26
Trey Quinn,26,198,1,0,0,19,10,0.385,1,0,45
Miles Boykin,13,198,3,2,1,50,10,0.769,0,0,20
Phillip Lindsay,35,196,0,1,0,36,9,0.257,0,0,47
Justin Hardy,19,195,0,2,0,23,9,0.474,0,0,26
Devin Singletary,29,194,2,3,1,49,5,0.172,0,0,41
Bennie Fowler,23,193,0,0,0,17,12,0.522,0,0,36
Andy Isabella,9,189,1,2,2,88,4,0.444,0,0,13
KeeSean Johnson,21,187,1,1,0,31,10,0.476,1,0,42
Javon Wims,18,186,1,1,0,37,9,0.5,0,0,39
Marquise Goodwin,12,186,1,3,0,38,10,0.833,0,0,21
David Montgomery,25,185,1,2,0,30,7,0.28,0,0,35
Laquon Treadwell,9,184,1,3,1,58,8,0.889,0,0,13
LeSean McCoy,28,181,1,2,0,23,6,0.214,1,0,34
Raheem Mostert,14,180,2,3,0,39,6,0.429,0,0,22
Tevin Coleman,21,180,1,2,0,37,9,0.429,0,0,30
Chester Rogers,16,179,2,2,0,27,11,0.688,0,0,28
Tavon Austin,13,177,1,2,1,59,8,0.615,0,0,24
Deon Cain,13,176,0,4,0,85,10,0.769,0,0,34
Foster Moreau,21,174,5,1,0,23,14,0.667,0,0,25
Benjamin Watson,17,173,0,3,0,26,9,0.529,0,0,24
Logan Thomas,16,173,1,0,0,17,10,0.625,0,0,28
Kalif Raymond,9,170,1,3,2,52,6,0.667,1,0,12
Byron Pringle,12,170,1,3,0,28,7,0.583,0,0,16
J.J. Arcega-Whiteside,10,169,1,4,0,30,7,0.7,0,0,22
Darrel Williams,15,167,1,2,1,52,7,0.467,0,0,19
Rhett Ellison,18,167,1,3,0,31,4,0.222,0,0,28
Duke Williams,12,166,1,3,1,41,8,0.667,0,0,19
Nick Vannett,17,166,0,0,0,31,5,0.294,0,0,22
Josh Jacobs,20,166,0,2,0,28,8,0.4,0,0,27
Richie James,6,165,1,3,2,57,5,0.833,0,0,10
Dion Lewis,25,164,1,2,0,24,7,0.28,0,0,32
Jakeem Grant,19,164,0,0,0,18,9,0.474,0,0,32
DeAndre Carter,11,162,0,4,1,46,6,0.545,0,0,14
Justin Watson,15,159,2,0,0,17,10,0.667,0,0,26
DeSean Jackson,9,159,2,2,2,53,6,0.667,0,0,10
Marcedes Lewis,15,156,1,2,0,25,8,0.533,0,0,19
James O'Shaughnessy,14,153,2,1,0,35,7,0.5,0,0,20
Demetrius Harris,15,149,3,2,0,23,10,0.667,0,0,26
C.J. Ham,17,149,1,3,0,36,6,0.353,0,0,25
Jaeden Graham,9,149,1,3,1,53,7,0.778,0,0,10
Ryquell Armstead,14,144,2,2,0,31,9,0.643,0,0,24
Adrian Peterson,16,142,0,3,0,22,7,0.438,0,0,19
Jesse James,16,142,0,1,0,23,8,0.5,0,0,27
Seth DeValve,12,140,0,1,0,20,7,0.583,0,0,18
Ian Thomas,16,136,1,0,0,19,10,0.625,0,0,30
Keelan Doss,11,133,0,1,0,31,6,0.545,0,0,14
Matt LaCosse,13,131,1,3,0,24,6,0.462,0,0,19
Kerryon Johnson,10,127,1,3,0,36,7,0.7,0,0,15
Parris Campbell,18,127,1,1,0,27,6,0.333,2,0,24
Dan Arnold,8,127,2,3,0,56,6,0.75,0,0,14
T.J. Yeldon,13,124,0,1,0,23,6,0.462,0,0,15
Vernon Davis,10,123,1,1,1,48,4,0.4,0,0,19
Matt Breida,19,120,1,0,0,17,6,0.316,0,0,21
Marcell Ateman,5,116,0,3,0,36,3,0.6,1,0,10
Olamide Zaccheaus,3,115,1,1,1,93,2,0.667,0,0,5
Braxton Berrios,6,115,0,2,1,69,3,0.5,0,0,13
Peyton Barber,16,115,1,0,0,16,4,0.25,0,0,24
Tommy Sweeney,8,114,0,3,0,29,4,0.5,0,0,13
Ryan Izzo,6,114,1,3,1,41,4,0.667,0,0,9
Jeff Heuerman,14,114,1,1,0,26,9,0.643,0,0,20
Devin Smith,5,113,1,2,1,51,4,0.8,0,0,9
Brandon Bolden,9,111,1,2,0,29,6,0.667,0,0,11
Dante Pettis,11,109,2,2,0,21,7,0.636,0,0,21
Nick O'Leary,13,109,1,0,0,34,4,0.308,1,0,18
Ty Johnson,24,109,0,0,0,13,4,0.167,1,0,29
Derek Carrier,13,108,1,2,0,25,4,0.308,0,0,19
Tony Pollard,15,107,1,1,0,21,4,0.267,0,0,20
Brandon Zylstra,8,106,0,2,1,40,5,0.625,0,0,12
N'Keal Harry,12,105,2,0,0,18,7,0.583,0,0,24
Chase Edmonds,12,105,1,1,0,31,5,0.417,0,0,19
Hale Hentges,8,103,1,2,0,24,6,0.75,0,0,14
Wayne Gallman,11,102,1,3,0,21,4,0.364,0,0,15
Robert Tonyan,10,100,1,2,0,28,4,0.4,0,0,15
Frank Gore,13,100,0,0,0,18,5,0.385,0,0,16
Danny Vitale,7,97,0,3,0,27,3,0.429,0,0,9
Sony Michel,12,94,0,0,0,19,7,0.583,0,0,20
Mo Alie-Cox,8,93,0,1,0,21,5,0.625,0,0,11
Dontrell Hilliard,12,92,0,0,0,19,4,0.333,0,0,15
J.P. Holtz,7,91,0,1,0,30,4,0.571,0,0,8
Ross Dwelley,15,91,2,1,0,25,8,0.533,0,0,22
Christian Blake,11,91,0,0,0,13,5,0.455,0,0,21
MyCole Pruitt,6,90,1,2,1,42,4,0.667,0,0,8
Ty Montgomery,13,90,0,1,0,21,3,0.231,0,0,17
Andrew Beck,9,90,1,1,0,29,6,0.667,0,0,12
Mark Walton,15,89,0,0,0,18,3,0.2,1,0,21
Antonio Callaway,8,89,0,1,1,41,3,0.375,0,0,15
Ameer Abdullah,15,88,1,0,0,16,5,0.333,0,0,21
Ito Smith,11,87,0,0,0,10,2,0.182,0,0,14
Josh Perkins,9,87,1,1,0,24,5,0.556,0,0,13
Jesper Horsted,8,87,1,1,0,20,4,0.5,0,0,10
Trey Burton,14,84,0,0,0,16,5,0.357,0,0,23
Rashaad Penny,8,83,1,1,0,30,3,0.375,0,0,11
Cordarrelle Patterson,11,83,0,1,0,33,3,0.273,0,0,17
Damion Willis,9,82,0,0,0,17,3,0.333,0,0,14
Alexander Mattison,10,82,0,0,0,17,3,0.3,0,0,12
Marlon Mack,14,82,0,0,0,14,2,0.143,0,0,16
Trent Sherfield,4,80,0,2,0,38,4,1.0,0,0,11
Luke Willson,8,79,0,0,0,17,5,0.625,0,0,10
Derrius Guice,7,79,1,1,1,45,2,0.286,0,0,10
Virgil Green,9,78,1,0,0,15,4,0.444,0,0,12
C.J. Prosise,10,76,0,1,0,21,3,0.3,0,0,12
KhaDarel Hodge,4,76,0,1,1,41,3,0.75,0,0,10
Adam Shaheen,9,74,0,0,0,18,3,0.333,0,0,13
Daniel Brown,7,72,1,2,0,24,4,0.571,0,0,11
Tyler Kroft,6,71,1,1,0,20,5,0.833,0,0,14
D'Ernest Johnson,6,71,0,1,0,27,1,0.167,0,0,7
Justice Hill,8,70,0,0,0,14,5,0.625,0,0,15
Chad Beebe,2,70,0,1,1,61,2,1.0,0,0,2
Riley Ridley,6,69,0,1,0,32,4,0.667,0,0,7
Jordan Howard,10,69,1,1,0,20,3,0.3,0,0,14
Brian Hill,10,69,1,0,0,12,4,0.4,0,0,14
Chris Hogan,8,67,0,0,0,13,3,0.375,0,0,15
Blake Bell,8,67,0,1,0,30,3,0.375,0,0,15
Rico Gafford,2,66,1,1,1,49,2,1.0,0,0,2
Geoff Swaim,13,65,0,0,0,9,1,0.077,0,0,17
Durham Smythe,7,65,0,1,0,24,2,0.286,0,0,14
Wendell Smallwood,9,64,0,0,0,18,4,0.444,0,0,13
Robert Foster,3,64,0,3,0,24,3,1.0,0,0,9
Kalen Ballage,14,63,0,0,0,13,4,0.286,0,0,23
Tevin Jones,4,61,0,1,0,28,1,0.25,0,0,9
Chris Lacy,3,60,0,1,1,48,2,0.667,0,0,10
Jonathan Williams,5,59,0,1,0,31,3,0.6,0,0,5
Ben Braunecker,6,59,1,0,0,18,5,0.833,0,0,11
Tyler Conklin,8,58,0,1,0,20,2,0.25,0,0,10
Clive Walford,4,57,0,0,0,19,4,1.0,0,0,8
Devontae Booker,6,57,0,1,0,25,1,0.167,0,0,9
Reggie Bonnafon,6,57,0,1,0,32,1,0.167,0,0,9
Andre Patton,6,56,0,0,0,15,4,0.667,0,0,14
Travis Homer,11,56,0,0,0,11,3,0.273,0,0,13
Antonio Brown,4,56,1,1,0,20,3,0.75,0,0,8
Rashard Higgins,4,55,1,1,0,35,3,0.75,0,0,7
Khari Blasingame,4,54,0,2,0,24,2,0.5,0,0,5
Luke Stocker,8,53,0,0,0,18,2,0.25,1,0,14
DeAndrew White,4,51,0,0,0,18,3,0.75,0,0,9
Ross Travis,4,51,0,1,0,25,1,0.25,1,0,6
Myles Gaskin,7,51,0,1,0,20,2,0.286,0,0,12
Stephen Carlson,5,51,1,1,0,21,2,0.4,0,0,7
Deon Yelder,3,50,0,1,0,24,2,0.667,0,0,3
Lance Kendricks,3,50,0,1,0,24,3,1.0,0,0,6
Trey Edmunds,6,48,0,0,0,11,2,0.333,0,0,7
Deontay Burnett,2,48,0,1,1,41,1,0.5,0,0,4
Trevon Wesco,2,47,0,1,0,32,2,1.0,0,0,2
Patrick Ricard,8,47,1,0,0,10,3,0.375,0,0,9
Ced Wilson,5,46,0,0,0,14,2,0.4,0,0,7
Alexander Hollins,2,46,0,1,0,35,2,1.0,0,0,4
Gus Edwards,7,45,0,0,0,10,2,0.286,0,0,8
Alec Ingold,6,44,1,0,0,14,4,0.667,0,0,6
Mike Davis,14,44,0,0,0,14,2,0.143,0,0,16
Jordan Wilkins,7,43,0,0,0,11,1,0.143,0,0,11
Darwin Thompson,9,43,0,0,0,19,2,0.222,0,0,10
Jason Moore,2,43,0,1,0,32,2,1.0,0,0,2
Andy Janovich,5,42,0,1,0,22,1,0.2,0,0,5
Carlos Hyde,10,42,0,0,0,14,2,0.2,0,0,16
David Njoku,5,41,1,0,0,18,3,0.6,0,0,10
Patrick DiMarco,5,41,0,1,0,27,1,0.2,0,0,6
Zach Zenner,4,38,0,0,0,38,4,1.0,0,0,6
Elandon Roberts,1,38,1,1,0,38,1,1.0,0,0,1
T.J. Jones,3,38,1,1,0,28,2,0.667,0,0,4
Troy Fumagalli,6,38,1,0,0,9,1,0.167,0,0,9
Geremy Davis,3,38,0,0,0,19,1,0.333,0,0,3
Steven Mitchell,2,37,0,1,0,21,2,1.0,0,0,6
Darrell Henderson,4,37,0,0,0,14,1,0.25,0,0,6
J.J. Nelson,4,36,1,1,0,29,1,0.25,0,0,5
Donte Moncrief,8,36,0,0,0,22,2,0.25,0,0,30
Zach Line,6,36,0,0,0,12,1,0.167,0,0,10
Bobo Wilson,3,35,0,0,0,14,2,0.667,0,0,11
Ty Sambrailo,1,35,1,1,0,35,1,1.0,0,0,1
Jeff Wilson,3,34,1,1,0,25,1,0.333,0,0,5
Gunner Olszewski,2,34,0,1,0,29,1,0.5,0,0,4
Ishmael Hyman,2,34,0,1,0,31,2,1.0,0,0,4
Bilal Powell,7,33,0,0,0,9,0,0.0,0,0,12
Jordan Matthews,4,33,0,0,0,10,1,0.25,0,0,12
Derek Watt,3,32,0,1,0,21,1,0.333,0,0,4
Devin Funchess,3,32,0,0,0,16,2,0.667,0,0,5
Diontae Spencer,5,31,0,1,0,20,1,0.2,1,0,7
Lee Smith,4,31,1,0,0,9,2,0.5,0,0,5
C.J. Board,2,31,0,1,0,23,1,0.5,0,0,4
Drew Sample,5,30,0,1,0,21,1,0.2,0,0,6
Codey McElroy,1,30,0,1,0,30,1,1.0,0,0,1
Travis Benjamin,6,30,0,0,0,13,3,0.5,0,0,16
Cody Core,3,28,0,0,0,11,2,0.667,0,0,5
Ryan Switzer,8,27,0,0,0,8,2,0.25,0,0,11
Cam Sims,2,27,0,0,0,15,1,0.5,0,0,3
Pharaoh Brown,2,27,0,0,0,18,1,0.5,0,0,3
Johnny Mundt,4,26,0,0,0,9,1,0.25,0,0,7
Tanner Hudson,2,26,0,0,0,14,1,0.5,0,0,4
Russell Shepard,3,25,0,0,0,12,1,0.333,0,0,8
Darren Sproles,6,24,0,0,0,7,1,0.167,0,0,10
Deonte Harris,5,24,0,0,0,13,2,0.4,0,0,5
Benny Snell,3,23,0,0,0,14,0,0.0,0,0,4
Nick Scott,1,23,0,1,0,23,1,1.0,0,0,1
Devine Ozigbo,3,23,0,0,0,12,1,0.333,0,0,5
Nick Bellore,2,23,1,1,0,20,2,1.0,0,0,2
Spencer Ware,5,22,0,0,0,18,1,0.2,1,0,7
Anthony Sherman,2,22,0,0,0,15,2,1.0,0,0,3
Da'Mari Scott,2,22,0,0,0,11,2,1.0,0,0,3
Justin Jackson,9,22,0,0,0,9,0,0.0,0,0,11
Michael Crabtree,4,22,0,0,0,9,0,0.0,0,0,5
Kenjon Barner,6,22,0,0,0,13,1,0.167,0,0,8
Eric Saubert,2,21,0,0,0,11,1,0.5,0,0,3
Chris Moore,3,21,0,0,0,13,0,0.0,0,0,5
Johnny Holton,3,21,0,0,0,18,1,0.333,0,0,15
Fred Brown,2,21,0,0,0,16,1,0.5,0,0,3
Andre Roberts,3,20,0,0,0,7,1,0.333,0,0,7
Josh Bellamy,2,20,0,0,0,15,1,0.5,0,0,3
David Blough,1,19,1,0,0,19,1,1.0,0,0,1
Paul Perkins,2,18,0,0,0,18,0,0.0,0,0,2
Stanley Morgan,3,18,0,0,0,9,0,0.0,0,0,7
Marqise Lee,3,18,0,0,0,8,2,0.667,0,0,4
Tra Carson,4,18,0,0,0,8,0,0.0,0,0,4
Darius Jennings,2,17,0,0,0,11,2,1.0,0,0,5
Ashton Dulin,2,17,0,0,0,13,0,0.0,0,0,2
Robert Davis,2,17,0,0,0,17,2,1.0,0,0,3
Mike Boone,3,17,0,0,0,7,0,0.0,0,0,4
Nick Bawden,4,17,0,0,0,10,1,0.25,0,0,6
Rashard Davis,1,16,0,0,0,16,1,1.0,0,0,1
Malcolm Brown,2,16,0,0,0,10,0,0.0,0,0,6
Michael Walker,2,15,0,0,0,9,1,0.5,0,0,3
Josh Oliver,3,15,0,0,0,6,0,0.0,0,0,6
Ventell Bryant,1,15,1,0,0,15,1,1.0,0,0,1
Mike Thomas,2,14,0,0,0,9,1,0.5,0,0,5
