Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Tyler Kroft,16,173,1,3,0,26,9,0.563,0,0,25
Ashton Dulin,13,173,2,2,1,62,9,0.692,0,0,21
Pharaoh Brown,23,171,0,2,0,29,6,0.261,1,0,34
Breshad Perriman,11,167,1,3,1,58,5,0.455,0,0,18
Jimmy Graham,14,167,3,2,0,28,10,0.714,0,0,23
Zach Gentry,19,167,0,2,0,25,11,0.579,0,0,25
Dyami Brown,12,165,0,3,1,48,6,0.5,0,0,25
Stephen Anderson,16,165,1,3,0,34,9,0.563,0,0,19
Parris Campbell,10,162,1,3,1,51,7,0.7,0,0,17
Travis Homer,16,161,0,3,0,31,8,0.5,0,0,20
Isaiah Ford,11,161,2,2,1,52,7,0.636,0,0,15
Marcus Johnson,9,160,0,3,1,50,7,0.778,0,0,18
Juwan Johnson,13,159,4,3,0,27,12,0.923,0,0,22
Miles Sanders,26,158,0,1,0,25,6,0.231,0,0,34
Jamaal Williams,26,157,0,0,0,15,6,0.231,0,0,28
KhaDarel Hodge,13,157,0,2,1,42,7,0.538,0,0,27
JaMycal Hasty,23,157,0,1,0,23,7,0.304,1,0,29
Derrick Henry,18,154,0,0,0,16,7,0.389,0,0,20
D.J. Chark,7,154,2,3,1,41,7,1.0,0,0,22
Chris Evans,15,151,2,1,0,24,6,0.4,0,0,17
Malik Turner,12,149,3,1,1,61,8,0.667,0,0,16
MyCole Pruitt,14,145,3,2,0,22,10,0.714,0,0,18
Terrace Marshall Jr.,17,138,0,1,0,23,7,0.412,0,0,30
Elijah Mitchell,19,137,1,0,0,14,6,0.316,0,0,20
D'Ernest Johnson,19,137,0,0,0,18,7,0.368,1,0,25
Anthony Schwartz,10,135,1,1,1,44,6,0.6,0,0,23
O.J. Howard,14,135,1,1,0,21,10,0.714,0,0,20
Nick Vannett,9,133,1,2,0,30,7,0.778,0,0,15
Ben Skowronek,11,133,0,2,0,35,7,0.636,0,0,18
Denzel Mims,8,133,0,3,1,40,5,0.625,0,0,15
DeeJay Dallas,21,133,0,1,0,29,4,0.19,1,0,23
Damien Harris,18,132,0,1,0,21,4,0.222,0,0,21
Jakeem Grant,11,132,2,2,1,46,7,0.636,1,0,17
JuJu Smith-Schuster,15,129,0,1,0,24,6,0.4,0,0,27
Clyde Edwards-Helaire,19,129,2,1,0,29,8,0.421,0,0,23
Sony Michel,21,128,1,1,0,24,6,0.286,0,0,33
C.J. Ham,17,125,0,1,0,27,6,0.353,0,0,18
Rhamondre Stevenson,14,123,0,2,1,41,3,0.214,1,0,18
D'Onta Foreman,9,123,0,1,0,39,6,0.667,0,0,11
Giovani Bernard,23,123,3,1,0,32,8,0.348,1,0,29
Brock Wright,12,117,2,2,0,36,6,0.5,0,0,17
Salvon Ahmed,12,117,0,0,0,18,4,0.333,0,0,19
Ihmir Smith-Marsette,5,116,2,2,2,44,4,0.8,0,0,6
Dare Ogunbowale,13,114,1,1,0,28,3,0.231,0,0,21
Jeff Smith,8,113,0,1,0,35,6,0.75,0,0,17
Phillip Dorsett,8,113,0,2,0,42,3,0.375,0,0,17
Adam Shaheen,12,110,0,1,0,21,5,0.417,0,0,16
Jerick McKinnon,13,107,1,0,0,14,7,0.538,0,0,20
Kylen Granson,11,106,0,1,0,27,4,0.364,0,0,15
Collin Johnson,11,105,0,0,0,16,6,0.545,0,0,21
Derrick Gore,8,105,0,1,1,50,3,0.375,0,0,8
Shi Smith,6,104,0,1,1,63,3,0.5,0,0,9
Damien Williams,16,103,1,1,0,23,3,0.188,0,0,23
Trinity Benson,10,103,0,2,0,24,4,0.4,0,0,22
Equanimeous St. Brown,9,98,0,1,0,26,6,0.667,0,0,17
Blake Jarwin,11,96,2,1,0,20,5,0.455,0,0,17
Khalil Herbert,14,96,0,1,0,20,6,0.429,0,0,16
Greg Ward,7,95,3,1,0,27,4,0.571,0,0,11
Ty Montgomery,16,95,0,1,0,21,5,0.313,0,0,26
James White,12,94,0,2,0,28,5,0.417,0,0,13
Royce Freeman,13,92,0,0,0,28,4,0.308,0,0,21
Trent Sherfield,9,87,1,0,0,18,7,0.778,0,0,20
Dante Pettis,10,87,1,1,0,27,5,0.5,0,0,16
Dontrell Hilliard,19,87,0,1,0,28,6,0.316,1,0,26
Alex Collins,9,87,0,2,0,28,3,0.333,1,0,10
Blake Bell,9,87,0,2,0,24,4,0.444,0,0,13
Alec Ingold,10,85,1,1,0,29,4,0.4,0,0,12
Ty'Son Williams,9,84,0,1,0,21,4,0.444,0,0,11
Eric Ebron,12,84,1,0,0,19,6,0.5,0,0,18
Boston Scott,13,83,0,0,0,19,3,0.231,0,0,16
Dax Milne,9,83,0,1,0,22,4,0.444,1,0,13
Drew Sample,11,81,0,0,0,19,3,0.273,0,0,15
Latavius Murray,10,75,0,0,0,18,2,0.2,0,0,13
K.J. Hamler,5,74,0,2,0,28,4,0.8,0,0,10
Jaret Patterson,10,73,0,0,0,12,5,0.5,0,0,11
Jalen Richard,12,72,0,0,0,19,4,0.333,0,0,14
Matt Breida,7,72,2,1,0,23,4,0.571,0,0,8
Preston Williams,6,71,0,2,0,34,3,0.5,0,0,16
Chris Manhertz,6,71,1,1,0,22,4,0.667,0,0,8
Dede Westbrook,10,68,0,0,0,17,3,0.3,0,0,15
Kenny Stills,6,68,1,1,0,22,4,0.667,0,0,23
Peyton Barber,10,67,0,1,0,23,3,0.3,0,0,13
Josh Oliver,9,66,0,0,0,19,4,0.444,1,0,15
Lee Smith,9,65,1,1,0,22,3,0.333,0,0,10
Carlos Hyde,12,65,0,0,0,9,1,0.083,0,0,22
Ronald Jones,10,64,0,0,0,15,2,0.2,0,0,13
D'Wayne Eskridge,10,64,1,0,0,17,4,0.4,0,0,20
Ja'Marcus Bradley,4,64,0,1,0,37,2,0.5,0,0,4
Patrick Ricard,8,63,1,1,0,22,3,0.375,0,0,13
Jesse James,7,62,1,0,0,19,3,0.429,0,0,8
Godwin Igwebuike,7,60,0,0,0,18,4,0.571,0,0,9
Penny Hart,7,59,0,0,0,16,3,0.429,0,0,12
Juwann Winfree,8,58,0,0,0,12,5,0.625,2,0,13
Keith Smith,9,56,0,0,0,11,3,0.333,0,0,10
Jason Moore,3,56,0,1,0,24,3,1.0,0,0,4
Luke Farrell,7,56,0,1,0,21,3,0.429,1,0,11
Jacob Hollister,9,55,1,0,0,11,2,0.222,0,0,14
Alex Erickson,3,55,0,1,0,25,2,0.667,0,0,3
Tom Kennedy,6,54,0,0,0,15,2,0.333,0,0,10
Charlie Woerner,5,52,0,1,0,27,3,0.6,0,0,6
Mike Thomas,5,52,0,0,0,19,3,0.6,0,0,7
Craig Reynolds,7,52,0,0,0,14,3,0.429,0,0,8
Taysom Hill,4,52,0,0,0,15,4,1.0,0,0,6
Ross Dwelley,4,51,1,1,0,21,2,0.5,0,0,5
C.J. Board,4,51,0,1,0,38,3,0.75,0,0,6
Dez Fitzpatrick,5,49,1,0,0,18,4,0.8,0,0,8
Tevin Coleman,11,49,0,0,0,11,2,0.182,0,0,15
Rodney Smith,5,48,0,0,0,17,2,0.4,0,0,5
Rashaad Penny,6,48,0,1,0,27,3,0.5,0,0,8
Anthony Miller,11,48,2,0,0,22,6,0.545,0,0,23
Eric Saubert,8,47,1,0,0,11,2,0.25,0,0,11
Jody Fortson,5,47,2,1,0,27,3,0.6,0,0,5
Antony Auclair,5,47,1,0,0,15,2,0.4,0,0,5
Amari Rodgers,4,45,0,0,0,19,2,0.5,0,0,8
Tre' McKitty,6,45,0,0,0,12,3,0.5,0,0,7
Phillip Lindsay,4,45,1,1,0,30,1,0.25,0,0,5
Tommy Sweeney,9,44,1,0,0,13,3,0.333,1,0,10
Jakob Johnson,4,43,0,1,0,29,2,0.5,0,0,5
Parker Hesse,5,43,0,0,0,17,3,0.6,0,0,6
Darren Fells,4,43,0,1,0,24,2,0.5,0,0,5
